Players,Team,Pos.,5v5 TOI,Shots,Chances,Passes,Primary Shot Assists,Home Plate,Low-to-High,Goal Line,NZ Assist,DZ Assist,Zone Entries,Carries...15,Pass Entries,Recoveries,Exit Attempts,Zone Exits,Exits w/ Possession,Exit Assists,Fails,Targets,Carries...24,Denials,Passes Allowed,5v4 Entries,5v4 Carries,5v4 Setups,4v5 Entries,4v5 Carry Denials,5v4 Shots,5v4 Passes,5v4 Primary Setups,5v4 Cross-Slot,5v4 Low-to-High,5v4 Goal Line,Forecheck Pressures,Exit Disruptions,Carry-in%,Pass%,Exit%,Possession Exit%,Fail%,Shots/60,Passes/60...46,A1/60,Shot Contributions/60,Entries/60,Carries/60,Passes/60...51,Attempts/60,Exits/60,Possession/60,Fail/60,Assists/60,Targets/60,Carry Against%,Denial%,Passes Allowed%,Recoveries/60,5v4 Carry%,5v4 Setup%,NZ Assist/60,DZ Assist/60,Transition Plays/60,Cycle Plays/60,Slot Passes/60,Goal Line Passes/60,High Danger Passes/60,L2H Passes/60,Pressures/60,Disruptions/60
Joel Eriksson Ek,MIN,F,222.91,29,12,39,24,3,7,3,4,2,60,21,5,12,53,36,20,6,16,13,2,6,4,1,1,1,3,6,3,0,0,1,1,0,28,24,35.0%,8.3%,67.9%,37.7%,30.2%,7.81,10.5,6.46,14.27,16.15,5.65,1.35,14.27,9.69,5.38,4.31,1.61,3.5,15.4%,46.2%,200.0%,3.23,100.0%,100.0%,1.08,0.54,1.61,8.88,0.81,0.81,1.61,1.88,7.54,6.46
Jonas Brodin,MIN,D,369.31,46,5,59,30,1,2,0,8,14,74,21,7,0,133,105,64,34,23,144,80,18,22,2,0,1,0,5,2,3,2,0,1,0,13,11,28.4%,9.5%,78.9%,48.1%,17.3%,7.47,9.59,4.87,12.35,12.02,3.41,1.14,21.61,17.06,10.4,3.74,5.52,23.39,55.6%,12.5%,27.5%,0,0.0%,50.0%,1.3,2.27,3.57,6.01,0.16,0,0.16,0.32,2.11,1.79
Jordan Greenway,MIN,F,231.62,37,13,41,29,5,10,2,5,1,80,28,12,16,82,62,35,3,18,12,4,5,3,4,2,1,3,4,0,2,2,0,0,0,30,25,35.0%,15.0%,75.6%,42.7%,22.0%,9.58,10.62,7.51,17.1,20.72,7.25,3.11,21.24,16.06,9.07,4.66,0.78,3.11,33.3%,41.7%,75.0%,4.14,50.0%,25.0%,1.3,0.26,1.55,9.07,1.3,0.52,1.81,2.59,7.77,6.48
Kevin Fiala,MIN,F,217.25,42,19,70,48,2,12,1,6,8,75,37,15,8,91,75,46,6,11,4,0,4,0,34,18,12,0,0,20,38,17,0,13,0,30,25,49.3%,20.0%,82.4%,50.5%,12.1%,11.6,19.33,13.26,24.86,20.71,10.22,4.14,25.13,20.71,12.7,3.04,1.66,1.1,0.0%,100.0%,0.0%,2.21,52.9%,35.3%,1.66,2.21,3.87,15.47,0.55,0.28,0.83,3.31,8.29,6.9
Luke Johnson,MIN,F,7.93,0,0,1,0,0,0,0,0,0,3,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33.3%,0.0%,100.0%,0.0%,0.0%,0,7.56,0,0,22.69,7.56,0,15.13,15.13,0,0,0,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,0,0,7.56,0,0,0,0,7.56,7.56
Luke Kunin,MIN,F,203.77,43,17,27,16,3,5,2,3,2,42,16,7,9,41,29,17,2,9,7,4,1,3,5,3,3,2,0,3,5,3,1,1,0,24,18,38.1%,16.7%,70.7%,41.5%,22.0%,12.66,7.95,4.71,17.37,12.37,4.71,2.06,12.07,8.54,5.01,2.65,0.59,2.06,57.1%,14.3%,75.0%,2.65,60.0%,60.0%,0.88,0.59,1.47,6.48,0.88,0.59,1.47,1.47,7.07,5.3
Marcus Foligno,MIN,F,221.01,28,15,43,31,0,13,2,7,3,62,25,7,15,75,62,33,9,13,12,6,5,3,0,0,0,2,4,0,1,1,0,0,0,38,34,40.3%,11.3%,82.7%,44.0%,17.3%,7.6,11.67,8.42,16.02,16.83,6.79,1.9,20.36,16.83,8.96,3.53,2.44,3.26,50.0%,41.7%,50.0%,4.07,0.0%,0.0%,1.9,0.81,2.71,8.96,0,0.54,0.54,3.53,10.32,9.23
Mats Zuccarello,MIN,F,250.79,38,16,53,33,2,11,2,3,3,86,32,8,5,77,64,32,8,12,10,3,5,1,23,13,13,0,0,7,36,15,2,3,2,39,31,37.2%,9.3%,83.1%,41.6%,15.6%,9.09,12.68,7.9,16.99,20.58,7.66,1.91,18.42,15.31,7.66,2.87,1.91,2.39,30.0%,50.0%,33.3%,1.2,56.5%,56.5%,0.72,0.72,1.44,11.24,0.48,0.48,0.96,2.63,9.33,7.42
Matt Dumba,MIN,D,353.31,73,4,40,16,0,0,0,4,13,39,11,5,1,175,135,58,40,33,112,59,16,22,23,10,8,0,4,18,19,14,2,3,0,14,9,28.2%,12.8%,77.1%,33.1%,18.9%,12.4,6.79,2.72,15.11,6.62,1.87,0.85,29.72,22.93,9.85,5.6,6.79,19.02,52.7%,14.3%,37.3%,0.17,43.5%,34.8%,0.68,2.21,2.89,3.91,0,0,0,0,2.38,1.53
Mikko Koivu,MIN,F,181.95,21,9,34,16,0,2,5,3,4,30,10,5,5,70,53,20,2,14,17,5,5,2,1,1,1,1,6,1,9,6,0,1,1,28,18,33.3%,16.7%,75.7%,28.6%,20.0%,6.92,11.21,5.28,12.2,9.89,3.3,1.65,23.08,17.48,6.6,4.62,0.66,5.61,29.4%,29.4%,40.0%,1.65,100.0%,100.0%,0.99,1.32,2.31,8.9,0,1.65,1.65,0.66,9.23,5.94
Nick Seeler,MIN,D,32.02,6,1,0,0,0,0,0,0,0,2,0,0,0,17,9,1,0,7,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0%,0.0%,52.9%,5.9%,41.2%,11.24,0,0,11.24,3.75,0,0,31.86,16.86,1.87,13.12,0,14.99,62.5%,12.5%,20.0%,0,0.0%,0.0%,0,0,0,0,0,0,0,0,1.87,1.87
Nico Sturm,MIN,F,23.52,0,0,7,4,0,2,0,1,0,6,1,0,1,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,16.7%,0.0%,80.0%,40.0%,20.0%,0,17.86,10.21,10.21,15.31,2.55,0,12.76,10.21,5.1,2.55,0,0,0.0%,0.0%,0.0%,2.55,0.0%,0.0%,2.55,0,2.55,15.31,0,0,0,5.1,12.76,10.21
Ryan Donato,MIN,F,196.29,39,16,26,18,3,7,2,4,2,74,29,6,13,65,57,23,3,6,8,3,3,2,4,2,2,0,1,2,3,0,0,0,0,28,19,39.2%,8.1%,87.7%,35.4%,9.2%,11.92,7.95,5.5,17.42,22.62,8.86,1.83,19.87,17.42,7.03,1.83,0.92,2.45,37.5%,37.5%,66.7%,3.97,50.0%,50.0%,1.22,0.61,1.83,6.11,0.92,0.61,1.53,2.14,8.56,5.81
Ryan Hartman,MIN,F,223.4,40,19,44,31,0,6,2,4,4,75,39,8,13,84,63,37,5,16,9,2,5,1,0,0,0,5,4,0,0,0,0,0,0,35,28,52.0%,10.7%,75.0%,44.0%,19.0%,10.74,11.82,8.33,19.07,20.14,10.47,2.15,22.56,16.92,9.94,4.3,1.34,2.42,22.2%,55.6%,50.0%,3.49,0.0%,0.0%,1.07,1.07,2.15,9.67,0,0.54,0.54,1.61,9.4,7.52
Ryan Suter,MIN,D,364.96,43,7,69,42,1,3,1,3,18,37,10,4,0,166,120,60,26,32,135,85,8,26,11,2,3,0,4,19,32,20,1,0,0,16,12,27.0%,10.8%,72.3%,36.1%,19.3%,7.07,11.34,6.9,13.97,6.08,1.64,0.66,27.29,19.73,9.86,5.26,4.27,22.19,63.0%,5.9%,30.6%,0,18.2%,27.3%,0.49,2.96,3.45,7.89,0.16,0.16,0.33,0.49,2.63,1.97
Victor Rask,MIN,F,104.3,18,9,37,26,1,7,0,2,3,33,20,8,9,28,20,10,3,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,17,13,60.6%,24.2%,71.4%,35.7%,25.0%,10.35,21.28,14.96,25.31,18.98,11.5,4.6,16.11,11.5,5.75,4.03,1.73,2.88,60.0%,40.0%,33.3%,5.18,0.0%,0.0%,1.15,1.73,2.88,18.41,0.58,0,0.58,4.03,9.78,7.48
Zach Parise,MIN,F,258.12,33,18,71,45,5,14,3,8,7,68,43,19,16,70,61,31,6,8,3,2,1,1,8,3,3,3,0,12,17,7,0,4,1,35,26,63.2%,27.9%,87.1%,44.3%,11.4%,7.67,16.5,10.46,18.13,15.81,10,4.42,16.27,14.18,7.21,1.86,1.39,0.7,66.7%,33.3%,50.0%,3.72,37.5%,37.5%,1.86,1.63,3.49,13.02,1.16,0.7,1.86,3.25,8.14,6.04
Artturi Lehkonen,MTL,F,211.51,41,19,28,18,0,5,3,6,4,59,28,4,10,69,61,34,8,6,17,8,5,2,0,0,0,3,3,1,0,0,0,0,0,27,21,47.5%,6.8%,88.4%,49.3%,8.7%,11.63,7.94,5.11,16.74,16.74,7.94,1.13,19.57,17.3,9.64,1.7,2.27,4.82,47.1%,29.4%,25.0%,2.84,0.0%,0.0%,1.7,1.13,2.84,5.11,0,0.85,0.85,1.42,7.66,5.96
Ben Chiarot,MTL,D,321.78,61,5,43,14,0,1,0,1,21,39,11,3,0,164,122,62,24,34,119,83,11,37,1,0,1,0,2,5,7,4,0,0,0,26,22,28.2%,7.7%,74.4%,37.8%,20.7%,11.37,8.02,2.61,13.98,7.27,2.05,0.56,30.58,22.75,11.56,6.34,4.48,22.19,69.7%,9.2%,44.6%,0,0.0%,100.0%,0.19,3.92,4.1,3.92,0,0,0,0.19,4.85,4.1
Brendan Gallagher,MTL,F,229.35,68,25,42,22,0,5,2,10,4,83,40,13,10,79,65,42,7,12,4,1,1,0,12,5,5,0,0,3,7,3,1,1,0,31,28,48.2%,15.7%,82.3%,53.2%,15.2%,17.79,10.99,5.76,23.54,21.71,10.46,3.4,20.67,17,10.99,3.14,1.83,1.05,25.0%,25.0%,0.0%,2.62,41.7%,41.7%,2.62,1.05,3.66,7.33,0,0.52,0.52,1.31,8.11,7.33
Brett Kulak,MTL,D,222.53,29,0,24,12,0,0,2,3,7,23,11,5,1,87,61,37,19,24,82,44,8,14,1,1,0,0,0,1,0,0,0,0,0,6,5,47.8%,21.7%,70.1%,42.5%,27.6%,7.82,6.47,3.24,11.05,6.2,2.97,1.35,23.46,16.45,9.98,6.47,5.12,22.11,53.7%,9.8%,31.8%,0.27,100.0%,0.0%,0.81,1.89,2.7,3.77,0,0.54,0.54,0,1.62,1.35
Cale Fleury,MTL,D,98.46,12,1,7,3,0,0,0,1,3,7,1,0,0,52,36,19,11,11,36,24,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3%,0.0%,69.2%,36.5%,21.2%,7.31,4.27,1.83,9.14,4.27,0.61,0,31.69,21.94,11.58,6.7,6.7,21.94,66.7%,8.3%,29.2%,0,0.0%,0.0%,0.61,1.83,2.44,1.83,0,0,0,0,0,0
Charles Hudon,MTL,F,49.45,8,4,11,8,1,2,0,2,2,21,9,2,2,20,17,8,1,3,0,0,0,0,1,0,1,0,0,1,6,4,0,3,0,10,9,42.9%,9.5%,85.0%,40.0%,15.0%,9.71,13.35,9.71,19.41,25.48,10.92,2.43,24.27,20.63,9.71,3.64,1.21,0,0.0%,0.0%,0.0%,2.43,0.0%,100.0%,2.43,2.43,4.85,8.49,1.21,0,1.21,2.43,12.13,10.92
Christian Folin,MTL,D,95.06,13,1,13,9,1,0,0,0,6,8,1,1,0,42,32,11,7,9,37,18,5,4,0,0,0,0,0,0,0,0,0,0,0,4,4,12.5%,12.5%,76.2%,26.2%,21.4%,8.21,8.21,5.68,13.89,5.05,0.63,0.63,26.51,20.2,6.94,5.68,4.42,23.35,48.6%,13.5%,22.2%,0,0.0%,0.0%,0,3.79,3.79,4.42,0.63,0,0.63,0,2.52,2.52
Dale Weise,MTL,F,42.93,5,1,8,5,0,0,1,1,1,14,8,1,2,24,19,9,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,12,57.1%,7.1%,79.2%,37.5%,20.8%,6.99,11.18,6.99,13.98,19.57,11.18,1.4,33.54,26.55,12.58,6.99,2.8,2.8,0.0%,50.0%,0.0%,2.8,0.0%,0.0%,1.4,1.4,2.8,8.39,0,1.4,1.4,0,19.57,16.77
Gustav Olofsson,MTL,D,11.27,3,0,1,1,0,0,0,0,0,1,0,0,0,7,6,2,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,85.7%,28.6%,14.3%,15.97,5.32,5.32,21.3,5.32,0,0,37.27,31.94,10.65,5.32,0,26.62,40.0%,20.0%,0.0%,0,0.0%,0.0%,0,0,0,5.32,0,0,0,0,0,0
Ilya Kovalchuk,MTL,F,61.65,14,8,8,8,0,3,0,1,2,16,10,1,1,20,17,8,0,3,1,0,1,0,5,2,1,0,0,6,5,0,0,0,0,8,8,62.5%,6.3%,85.0%,40.0%,15.0%,13.63,7.79,7.79,21.41,15.57,9.73,0.97,19.46,16.55,7.79,2.92,0,0.97,0.0%,100.0%,0.0%,0.97,40.0%,20.0%,0.97,1.95,2.92,4.87,0,0,0,2.92,7.79,7.79
Jake Evans,MTL,F,60.07,10,4,11,7,0,2,1,1,1,24,10,2,7,23,16,8,1,5,2,1,1,0,3,3,1,0,0,1,0,0,0,0,0,18,13,41.7%,8.3%,69.6%,34.8%,21.7%,9.99,10.99,6.99,16.98,23.97,9.99,2,22.97,15.98,7.99,4.99,1,2,50.0%,50.0%,0.0%,6.99,100.0%,33.3%,1,1,2,8.99,0,1,1,2,17.98,12.99
Jeff Petry,MTL,D,317.87,58,7,48,29,1,0,0,5,18,47,19,10,0,177,136,65,38,36,127,67,21,27,12,5,7,0,9,13,38,20,0,0,0,13,12,40.4%,21.3%,76.8%,36.7%,20.3%,10.95,9.06,5.47,16.42,8.87,3.59,1.89,33.41,25.67,12.27,6.8,7.17,23.97,52.8%,16.5%,40.3%,0,41.7%,58.3%,0.94,3.4,4.34,4.72,0.19,0,0.19,0,2.45,2.27
Jesperi Kotkaniemi,MTL,F,63.31,12,6,20,14,1,1,1,4,2,19,16,8,3,18,15,8,2,3,1,0,0,0,5,2,1,0,0,2,0,0,0,0,0,5,5,84.2%,42.1%,83.3%,44.4%,16.7%,11.37,18.95,13.27,24.64,18.01,15.16,7.58,17.06,14.22,7.58,2.84,1.9,0.95,0.0%,0.0%,0.0%,2.84,40.0%,20.0%,3.79,1.9,5.69,13.27,0.95,0.95,1.9,0.95,4.74,4.74
Joel Armia,MTL,F,214.63,52,21,42,27,0,4,2,15,8,77,43,16,5,83,67,40,3,14,11,4,5,2,6,3,4,11,3,8,9,3,1,0,0,43,38,55.8%,20.8%,80.7%,48.2%,16.9%,14.54,11.74,7.55,22.08,21.53,12.02,4.47,23.2,18.73,11.18,3.91,0.84,3.08,36.4%,45.5%,50.0%,1.4,50.0%,66.7%,4.19,2.24,6.43,5.31,0,0.56,0.56,1.12,12.02,10.62
Jonathan Drouin,MTL,F,124.48,13,6,40,32,1,3,0,2,1,27,16,5,2,28,21,13,7,7,11,6,1,2,12,6,5,0,0,5,15,9,1,2,1,14,11,59.3%,18.5%,75.0%,46.4%,25.0%,6.27,19.28,15.42,21.69,13.01,7.71,2.41,13.5,10.12,6.27,3.37,3.37,5.3,54.5%,9.1%,33.3%,0.96,50.0%,41.7%,0.96,0.48,1.45,17.83,0.48,0,0.48,1.45,6.75,5.3
Jordan Weal,MTL,F,119.15,19,12,26,14,0,6,2,5,3,38,21,7,6,38,31,20,5,7,2,0,0,0,9,7,6,0,0,10,12,1,0,0,0,14,11,55.3%,18.4%,81.6%,52.6%,18.4%,9.57,13.09,7.05,16.62,19.14,10.57,3.52,19.14,15.61,10.07,3.52,2.52,1.01,0.0%,0.0%,0.0%,3.02,77.8%,66.7%,2.52,1.51,4.03,9.06,0,1.01,1.01,3.02,7.05,5.54
Karl Alzner,MTL,D,23.4,1,0,1,1,0,0,0,0,0,2,0,0,0,14,11,3,2,3,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0%,0.0%,78.6%,21.4%,21.4%,2.56,2.56,2.56,5.13,5.13,0,0,35.9,28.21,7.69,7.69,5.13,15.38,50.0%,16.7%,66.7%,0,0.0%,0.0%,0,0,0,2.56,0,0,0,0,2.56,2.56
Lukas Vejdemo,MTL,F,31.23,6,4,3,3,0,1,0,0,0,11,3,1,3,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,27.3%,9.1%,33.3%,0.0%,66.7%,11.53,5.76,5.76,17.29,21.13,5.76,1.92,5.76,1.92,0,3.84,1.92,0,0.0%,0.0%,0.0%,5.76,0.0%,0.0%,0,0,0,5.76,0,0,0,1.92,9.61,9.61
Marco Scandella,MTL,D,53.83,10,1,5,2,0,0,0,0,2,4,2,0,0,23,18,10,1,5,18,8,4,4,1,0,1,0,0,0,0,0,0,0,0,1,1,50.0%,0.0%,78.3%,43.5%,21.7%,11.15,5.57,2.23,13.37,4.46,2.23,0,25.63,20.06,11.15,5.57,1.11,20.06,44.4%,22.2%,50.0%,0,0.0%,100.0%,0,2.23,2.23,3.34,0,0,0,0,1.11,1.11
Matthew Peca,MTL,F,9.25,1,1,1,0,0,0,0,1,0,4,1,0,0,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25.0%,0.0%,75.0%,50.0%,25.0%,6.49,6.49,0,6.49,25.95,6.49,0,25.95,19.46,12.97,6.49,0,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,6.49,0,6.49,0,0,0,0,0,6.49,6.49
Max Domi,MTL,F,233.56,54,19,78,56,4,15,8,12,6,102,61,16,9,98,79,57,11,17,2,1,1,0,19,9,4,0,0,10,26,16,2,5,1,35,33,59.8%,15.7%,80.6%,58.2%,17.3%,13.87,20.04,14.39,28.26,26.2,15.67,4.11,25.18,20.29,14.64,4.37,2.83,0.51,50.0%,50.0%,0.0%,2.31,47.4%,21.1%,3.08,1.54,4.62,15.41,1.03,2.06,3.08,3.85,8.99,8.48
Mike Reilly,MTL,D,38.62,11,2,2,0,0,0,0,0,1,4,3,0,0,17,13,7,4,3,14,10,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2,75.0%,0.0%,76.5%,41.2%,17.6%,17.09,3.11,0,17.09,6.21,4.66,0,26.41,20.2,10.88,4.66,6.21,21.75,71.4%,7.1%,30.0%,0,0.0%,0.0%,0,1.55,1.55,1.55,0,0,0,0,3.11,3.11
Nate Thompson,MTL,F,136.04,12,5,34,23,0,10,1,4,0,39,22,5,8,35,31,19,3,4,8,2,2,2,0,0,0,5,2,0,0,0,0,0,0,23,17,56.4%,12.8%,88.6%,54.3%,11.4%,5.29,15,10.14,15.44,17.2,9.7,2.21,15.44,13.67,8.38,1.76,1.32,3.53,25.0%,25.0%,100.0%,3.53,0.0%,0.0%,1.76,0,1.76,13.23,0,0.44,0.44,4.41,10.14,7.5
Nick Cousins,MTL,F,120.75,18,8,21,12,0,6,1,1,3,38,15,5,7,42,39,24,1,3,2,1,0,0,4,3,3,0,0,1,2,1,1,0,0,16,14,39.5%,13.2%,92.9%,57.1%,7.1%,8.94,10.43,5.96,14.91,18.88,7.45,2.48,20.87,19.38,11.93,1.49,0.5,0.99,50.0%,0.0%,0.0%,3.48,75.0%,75.0%,0.5,1.49,1.99,8.45,0,0.5,0.5,2.98,7.95,6.96
Nick Suzuki,MTL,F,217.83,33,12,62,40,0,10,5,10,7,79,41,13,12,86,71,39,7,15,17,9,3,1,15,4,7,0,1,11,26,12,3,6,1,37,30,51.9%,16.5%,82.6%,45.3%,17.4%,9.09,17.08,11.02,20.11,21.76,11.29,3.58,23.69,19.56,10.74,4.13,1.93,4.68,52.9%,17.6%,11.1%,3.31,26.7%,46.7%,2.75,1.93,4.68,12.4,0,1.38,1.38,2.75,10.19,8.26
Otto Leskinen,MTL,D,12.05,1,0,1,1,0,0,0,0,1,0,0,0,0,6,6,2,1,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,100.0%,33.3%,0.0%,4.98,4.98,4.98,9.96,0,0,0,29.88,29.88,9.96,0,4.98,24.9,100.0%,0.0%,60.0%,0,0.0%,0.0%,0,4.98,4.98,0,0,0,0,0,0,0
Paul Byron,MTL,F,116.54,15,13,31,20,1,9,0,6,3,31,17,8,3,15,14,11,1,1,7,1,3,1,3,3,1,2,4,1,0,0,0,0,0,24,21,54.8%,25.8%,93.3%,73.3%,6.7%,7.72,15.96,10.3,18.02,15.96,8.75,4.12,7.72,7.21,5.66,0.51,0.51,3.6,14.3%,42.9%,100.0%,1.54,100.0%,33.3%,3.09,1.54,4.63,11.33,0.51,0,0.51,4.63,12.36,10.81
Phillip Danault,MTL,F,239.48,37,19,93,65,1,15,2,16,10,76,55,21,6,83,70,39,7,12,16,6,6,2,4,2,2,3,4,2,20,5,0,2,2,31,23,72.4%,27.6%,84.3%,47.0%,14.5%,9.27,23.3,16.29,25.56,19.04,13.78,5.26,20.8,17.54,9.77,3.01,1.75,4.01,37.5%,37.5%,33.3%,1.5,50.0%,50.0%,4.01,2.51,6.51,16.79,0.25,0.5,0.75,3.76,7.77,5.76
Riley Barber,MTL,F,12,1,0,2,2,0,0,0,0,0,2,2,2,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0%,100.0%,50.0%,50.0%,50.0%,5,10,10,15,10,10,10,10,5,5,5,5,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,0,0,10,0,0,0,0,0,0
Ryan Poehling,MTL,F,48.53,6,4,9,7,0,0,2,5,0,16,10,4,2,15,11,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,62.5%,25.0%,73.3%,33.3%,26.7%,7.42,11.13,8.66,16.07,19.78,12.36,4.95,18.55,13.6,6.18,4.95,0,0,0.0%,0.0%,0.0%,2.47,0.0%,0.0%,6.18,0,6.18,4.95,0,2.47,2.47,0,6.18,4.95
Shea Weber,MTL,D,249.35,48,9,30,15,0,0,1,6,14,22,5,1,1,93,68,25,28,21,80,40,14,22,1,0,0,0,7,9,11,6,0,0,0,11,8,22.7%,4.5%,73.1%,26.9%,22.6%,11.55,7.22,3.61,15.16,5.29,1.2,0.24,22.38,16.36,6.02,5.05,6.74,19.25,50.0%,17.5%,55.0%,0.24,0.0%,0.0%,1.44,3.37,4.81,2.41,0,0.24,0.24,0,2.65,1.93
Tomas Tatar,MTL,F,187.96,29,15,50,33,1,11,3,7,6,60,33,10,3,39,34,23,4,3,3,0,2,0,10,5,4,0,0,13,10,3,1,0,1,36,28,55.0%,16.7%,87.2%,59.0%,7.7%,9.26,15.96,10.53,19.79,19.15,10.53,3.19,12.45,10.85,7.34,0.96,1.28,0.96,0.0%,66.7%,0.0%,0.96,50.0%,40.0%,2.23,1.92,4.15,11.81,0.32,0.96,1.28,3.51,11.49,8.94
Victor Mete,MTL,D,168.05,26,3,34,17,0,1,0,4,14,26,21,6,0,63,42,28,10,20,59,38,2,14,4,3,2,0,0,0,3,3,0,0,0,12,9,80.8%,23.1%,66.7%,44.4%,31.7%,9.28,12.14,6.07,15.35,9.28,7.5,2.14,22.49,15,10,7.14,3.57,21.07,64.4%,3.4%,36.8%,0,75.0%,50.0%,1.43,5,6.43,5.71,0,0,0,0.36,4.28,3.21
Xavier Ouellet,MTL,D,75.43,17,0,9,4,0,0,0,0,3,7,2,0,2,39,37,11,4,2,27,18,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,28.6%,0.0%,94.9%,28.2%,5.1%,13.52,7.16,3.18,16.7,5.57,1.59,0,31.02,29.43,8.75,1.59,3.18,21.48,66.7%,7.4%,27.8%,1.59,0.0%,0.0%,0,2.39,2.39,4.77,0,0,0,0,0,0
Andy Greene,N.J,D,193.65,27,2,27,12,0,0,0,2,7,25,6,2,0,94,70,27,8,21,85,55,11,25,0,0,0,0,4,0,0,0,0,0,0,5,3,24.0%,8.0%,74.5%,28.7%,22.3%,8.37,8.37,3.72,12.08,7.75,1.86,0.62,29.12,21.69,8.37,6.51,2.48,26.34,64.7%,12.9%,45.5%,0,0.0%,0.0%,0.62,2.17,2.79,5.58,0,0,0,0,1.55,0.93
Blake Coleman,N.J,F,162.37,39,18,28,18,1,4,1,2,6,53,28,7,9,56,46,29,3,10,7,2,3,0,0,0,0,4,2,6,1,0,0,0,0,40,30,52.8%,13.2%,82.1%,51.8%,17.9%,14.41,10.35,6.65,21.06,19.58,10.35,2.59,20.69,17,10.72,3.7,1.11,2.59,28.6%,42.9%,0.0%,3.33,0.0%,0.0%,0.74,2.22,2.96,7.39,0.37,0.37,0.74,1.48,14.78,11.09
Colton White,N.J,D,22.53,3,0,2,1,0,0,0,0,0,2,1,0,0,13,11,5,2,2,16,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0%,0.0%,84.6%,38.5%,15.4%,7.99,5.33,2.66,10.65,5.33,2.66,0,34.62,29.29,13.31,5.33,5.33,42.6,62.5%,12.5%,30.0%,0,0.0%,0.0%,0,0,0,5.33,0,0,0,0,0,0
Connor Carrick,N.J,D,96.98,16,3,7,2,0,0,0,1,3,16,9,2,1,34,26,14,5,7,36,25,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,56.3%,12.5%,76.5%,41.2%,20.6%,9.9,4.33,1.24,11.14,9.9,5.57,1.24,21.03,16.09,8.66,4.33,3.09,22.27,69.4%,8.3%,32.0%,0.62,0.0%,100.0%,0.62,1.86,2.47,1.86,0,0,0,0,0,0
Dakota Mermis,N.J,D,67.28,12,1,4,1,0,0,0,1,2,7,2,1,0,19,16,5,3,1,30,17,5,7,0,0,0,0,2,0,0,0,0,0,0,NA,NA,28.6%,14.3%,84.2%,26.3%,5.3%,10.7,3.57,0.89,11.59,6.24,1.78,0.89,16.94,14.27,4.46,0.89,2.68,26.75,56.7%,16.7%,41.2%,0,0.0%,0.0%,0.89,1.78,2.68,0.89,0,0,0,0,0,0
Damon Severson,N.J,D,280.25,31,5,61,35,1,1,0,2,23,26,15,5,0,161,112,54,34,34,87,56,14,19,8,3,4,2,1,8,16,10,1,0,0,5,4,57.7%,19.2%,69.6%,33.5%,21.1%,6.64,13.06,7.49,14.13,5.57,3.21,1.07,34.47,23.98,11.56,7.28,7.28,18.63,64.4%,16.1%,33.9%,0,37.5%,50.0%,0.43,4.92,5.35,7.71,0.21,0,0.21,0.21,1.07,0.86
Fredrik Claesson,N.J,D,24.27,2,1,4,2,0,1,0,1,1,3,1,0,0,8,4,2,2,4,11,6,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,33.3%,0.0%,50.0%,25.0%,50.0%,4.95,9.89,4.95,9.89,7.42,2.47,0,19.78,9.89,4.95,9.89,4.95,27.2,54.5%,0.0%,16.7%,0,0.0%,0.0%,2.47,2.47,4.95,4.95,0,0,0,2.47,0,0
Jack Hughes,N.J,F,187.5,27,13,48,28,0,10,3,3,1,69,55,19,5,83,68,45,8,15,3,1,1,1,24,15,12,0,0,6,19,9,1,5,0,26,20,79.7%,27.5%,81.9%,54.2%,18.1%,8.64,15.36,8.96,17.6,22.08,17.6,6.08,26.56,21.76,14.4,4.8,2.56,0.96,33.3%,33.3%,100.0%,1.6,62.5%,50.0%,0.96,0.32,1.28,14.08,0,0.96,0.96,3.2,8.32,6.4
