Players,Team,Pos.,5v5 TOI,Shots,Chances,Passes,Primary Shot Assists,Home Plate,Low-to-High,Goal Line,NZ Assist,DZ Assist,Zone Entries,Carries...15,Pass Entries,Recoveries,Exit Attempts,Zone Exits,Exits w/ Possession,Exit Assists,Fails,Targets,Carries...24,Denials,Passes Allowed,5v4 Entries,5v4 Carries,5v4 Setups,4v5 Entries,4v5 Carry Denials,5v4 Shots,5v4 Passes,5v4 Primary Setups,5v4 Cross-Slot,5v4 Low-to-High,5v4 Goal Line,Forecheck Pressures,Exit Disruptions,Carry-in%,Pass%,Exit%,Possession Exit%,Fail%,Shots/60,Passes/60...46,A1/60,Shot Contributions/60,Entries/60,Carries/60,Passes/60...51,Attempts/60,Exits/60,Possession/60,Fail/60,Assists/60,Targets/60,Carry Against%,Denial%,Passes Allowed%,Recoveries/60,5v4 Carry%,5v4 Setup%,NZ Assist/60,DZ Assist/60,Transition Plays/60,Cycle Plays/60,Slot Passes/60,Goal Line Passes/60,High Danger Passes/60,L2H Passes/60,Pressures/60,Disruptions/60
Tyler Ennis,EDM,F,130.42,27,15,25,13,1,2,4,4,0,49,28,12,4,29,26,18,1,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,57.1%,24.5%,89.7%,62.1%,6.9%,12.42,11.5,5.98,18.4,22.54,12.88,5.52,13.34,11.96,8.28,0.92,0.46,2.76,33.3%,0.0%,0.0%,1.84,0.0%,0.0%,1.84,0,1.84,9.66,0.46,1.84,2.3,0.92,5.52,4.6
William Lagesson,EDM,D,43.75,10,0,6,2,0,0,0,0,5,5,1,0,0,29,20,11,5,9,14,10,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,20.0%,0.0%,69.0%,37.9%,31.0%,13.71,8.23,2.74,16.46,6.86,1.37,0,39.77,27.43,15.09,12.34,6.86,19.2,71.4%,0.0%,40.0%,0,0.0%,0.0%,0,6.86,6.86,1.37,0,0,0,0,2.74,1.37
Zack Kassian,EDM,F,449.27,64,41,94,48,2,13,8,10,18,131,60,19,17,172,137,78,6,33,10,4,3,1,5,1,1,0,0,2,0,0,0,0,0,63,53,45.8%,14.5%,79.7%,45.3%,19.2%,8.55,12.55,6.41,14.96,17.49,8.01,2.54,22.97,18.3,10.42,4.41,0.8,1.34,40.0%,30.0%,25.0%,2.27,20.0%,20.0%,1.34,2.4,3.74,8.81,0.27,1.07,1.34,1.74,8.41,7.08
Aaron Ekblad,FLA,D,381.46,73,16,73,46,2,5,0,3,16,51,26,9,2,162,124,53,40,35,137,74,15,25,8,4,3,1,7,7,17,8,0,0,0,14,12,51.0%,17.6%,76.5%,32.7%,21.6%,11.48,11.48,7.24,18.72,8.02,4.09,1.42,25.48,19.5,8.34,5.51,6.29,21.55,54.0%,10.9%,33.8%,0.31,50.0%,37.5%,0.47,2.52,2.99,8.49,0.31,0,0.31,0.79,2.2,1.89
Anton Stralman,FLA,D,362.59,50,6,66,38,1,0,0,6,24,35,7,3,1,159,121,63,22,32,139,83,23,28,0,0,0,0,1,1,0,0,0,0,0,13,11,20.0%,8.6%,76.1%,39.6%,20.1%,8.27,10.92,6.29,14.56,5.79,1.16,0.5,26.31,20.02,10.42,5.3,3.64,23,59.7%,16.5%,33.7%,0.17,0.0%,0.0%,0.99,3.97,4.96,5.96,0.17,0,0.17,0,2.15,1.82
Josh Brown,FLA,D,163.27,14,0,22,10,0,0,0,3,5,14,2,2,0,71,51,17,6,14,67,43,6,13,0,0,0,0,1,0,0,0,0,0,0,5,5,14.3%,14.3%,71.8%,23.9%,19.7%,5.14,8.08,3.67,8.82,5.14,0.73,0.73,26.09,18.74,6.25,5.14,2.2,24.62,64.2%,9.0%,30.2%,0,0.0%,0.0%,1.1,1.84,2.94,5.14,0,0,0,0,1.84,1.84
Keith Yandle,FLA,D,323.54,65,4,89,59,2,2,0,10,21,28,8,5,0,175,136,77,28,31,116,62,10,22,9,6,4,0,0,22,107,66,3,0,0,9,9,28.6%,17.9%,77.7%,44.0%,17.7%,12.05,16.51,10.94,23,5.19,1.48,0.93,32.45,25.22,14.28,5.75,5.19,21.51,53.4%,8.6%,35.5%,0,66.7%,44.4%,1.85,3.89,5.75,10.76,0.37,0,0.37,0.37,1.67,1.67
Mackenzie Weegar,FLA,D,284.84,52,6,41,21,2,0,0,8,8,68,18,5,0,158,125,63,28,29,114,59,16,25,0,0,0,1,5,1,0,0,0,0,0,6,4,26.5%,7.4%,79.1%,39.9%,18.4%,10.95,8.64,4.42,15.38,14.32,3.79,1.05,33.28,26.33,13.27,6.11,5.9,24.01,51.8%,14.0%,42.4%,0,0.0%,0.0%,1.69,1.69,3.37,5.27,0.42,0,0.42,0,1.26,0.84
Mark Pysyk,FLA,D,144.97,19,5,22,11,0,0,3,2,5,23,11,1,4,48,35,17,6,13,26,15,4,5,0,0,0,0,1,0,0,0,0,0,0,NA,NA,47.8%,4.3%,72.9%,35.4%,27.1%,7.86,9.11,4.55,12.42,9.52,4.55,0.41,19.87,14.49,7.04,5.38,2.48,10.76,57.7%,15.4%,33.3%,1.66,0.0%,0.0%,0.83,2.07,2.9,6.21,0,1.24,1.24,0,0,0
Mike Matheson,FLA,D,268.5,62,8,42,19,1,0,0,3,15,45,20,5,0,128,95,47,28,27,105,55,14,27,1,0,0,0,4,1,0,0,0,0,0,13,10,44.4%,11.1%,74.2%,36.7%,21.1%,13.85,9.39,4.25,18.1,10.06,4.47,1.12,28.6,21.23,10.5,6.03,6.26,23.46,52.4%,13.3%,49.1%,0,0.0%,0.0%,0.67,3.35,4.02,5.36,0.22,0,0.22,0,2.91,2.23
