,Player_ID,Players,Season,5v5 TOI,Shots/60,A1/60,Shot Contributions/60,Entries/60,Carries/60,Exits/60,Exits w/Possession/60,Failed Exit/60,Targets/60,Carry Against/60,Denial/60,Passes Allowed/60,Team,Pos.
708,MATTHEW.TKACHUK,Matthew Tkachuk,18,143.13,8.38,13.83,32.28,19.28,8.8,13,7.96,0.84,,,,,CGY,LW
189,MATTHEW.TKACHUK,Matthew Tkachuk,19,300.27,12.59,10.79,23.38,18.98,9.79,17.78,9.39,3.6,2,0.599460486,0.599460486,0,CGY,F
652,MATTHEW.TKACHUK,Matthew Tkachuk,21,484.92,12.49699261,10.51727101,30.80941743,17.817,10.022,10.765,8.043,0.99,1.361058601,0.4949304,0.618663001,0.1237326,,
393,MATTIAS.EKHOLM,Mattias Ekholm,18,213.35,9.28,3.66,16.87,11.81,4.5,26.154,8.156,6.468,57.37051793,37.40332787,7.030700727,12.09280525,NSH,D
514,MATTIAS.EKHOLM,Mattias Ekholm,19,420.71,12.98,6.42,19.4,11.98,4.14,27.38,12.98,6.42,19.54,10.69620404,4.278481614,4.84894583,NSH,D
120,MATTIAS.EKHOLM,Mattias Ekholm,20,16.78333333,25.02482622,25.02482622,57.19960279,28.5998014,10.72492552,25.02482622,14.2999007,17.87487587,39.32472692,21.44985105,7.149950349,3.574975174,NSH,D
653,MATTIAS.EKHOLM,Mattias Ekholm,21,509.45,8.244184905,3.886544313,16.48836981,10.835,4.947,13.191,8.833,1.88,21.55265482,12.24850329,2.355481402,3.062125822,,
203,MATTIAS.JANMARK,Mattias Janmark,18,131.22,9.14,5.94,18.75,20.12,12.8,16.92,10.06,2.29,,,,,DAL,LW
278,MATTIAS.JANMARK,Mattias Janmark,19,225.63,7.45,8.24,15.69,19.94,10.64,14.09,8.24,3.19,3.46,2.127376679,1.329610424,0.797766254,DAL,F
654,MATTIAS.JANMARK,Mattias Janmark,21,350.53,7.873716242,6.333206542,17.63027767,15.919,8.558,5.649,3.595,1.2,1.711677444,0.342335489,0.855838722,0,,
655,MATTIAS.NORLINDER,Mattias Norlinder,21,8.97,0,6.691449814,6.691449814,6.691,0,13.383,13.383,0,13.38289963,6.691449814,0,6.691449814,,
656,MATTIAS.SAMUELSSON,Mattias Samuelsson,21,186.57,3.859210291,3.537609434,10.6128283,1.608,0.643,5.789,4.824,1.61,26.04966947,14.15043773,3.216008576,5.145613722,,
657,MATTY.BENIERS,Matty Beniers,21,26.98,4.447189623,6.670784435,28.90673255,22.236,20.012,11.118,11.118,2.22,0,0,0,0,,
