"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Canucks","VAN","10-11",82,3827.55,56.71,52.33,52.95,53.28,50.16,2.55,1.94,31.41,28.61,43.78,38.91,58.95,51.69,2.34,2.33,0.6,2.8,4.87,7.26,0.01,8.1,93.21
"Capitals","WSH","10-11",81,3814.25,51.96,51.28,50.95,51.14,51.47,2.21,2.05,29.45,27.99,40.83,39.31,56.96,54.41,2.29,2.16,0.17,1.47,1.52,2.54,0.13,7.51,92.69
"Ducks","ANA","11-12",82,3907.33,46.81,47.93,48.31,48.1,47.94,2.11,2.4,26.4,28.68,38.12,40.79,50.79,54.8,2.13,2.31,-0.29,-2.28,-2.67,-4,-0.18,7.99,91.65
"Coyotes","ARI","11-12",82,3973.5,53.14,49.11,49.11,49.86,48.59,2.39,2.11,29.72,30.79,41.87,43.39,55.94,56.25,2.3,2.43,0.28,-1.08,-1.52,-0.31,-0.13,8.06,93.14
"Bruins","BOS","11-12",82,3963.3,56.95,52.84,53.68,54.26,53.71,2.89,2.18,32.05,28.61,44.38,38.3,60.33,50.86,2.3,1.98,0.71,3.44,6.08,9.47,0.32,9.02,92.36
"Sabres","BUF","11-12",82,3955.13,51.26,48.59,48.23,49.14,48.12,2.29,2.18,28.3,29.94,38.73,41.58,52.46,54.31,2.1,2.26,0.11,-1.64,-2.85,-1.84,-0.16,8.08,92.73
"Hurricanes","CAR","11-12",82,3911.63,45.94,47.72,47.97,48.43,47.43,2.09,2.46,28.84,31.59,40.83,44.29,55.68,59.28,2.4,2.66,-0.37,-2.75,-3.46,-3.6,-0.26,7.24,92.22
"Blue Jackets","CBJ","11-12",82,3807.1,44.13,46.85,47.21,47.04,48.85,2.02,2.56,27.52,31.22,37,41.37,48.53,54.64,2.01,2.1,-0.54,-3.7,-4.37,-6.11,-0.09,7.34,91.81
"Flames","CGY","11-12",82,3928.55,48.07,47.34,46.85,47.6,49.7,2.05,2.21,26.85,29.87,36.85,41.8,50.2,55.25,2.14,2.17,-0.16,-3.02,-4.95,-5.05,-0.03,7.63,92.59
"Blackhawks","CHI","11-12",82,3946.12,49.9,52.79,52.81,52.93,52.22,2.48,2.5,30.91,27.64,42.18,37.7,56.22,50,2.39,2.18,-0.01,3.27,4.48,6.22,0.2,8.04,90.97
"Avalanche","COL","11-12",82,3972.77,48.27,50.77,50.03,50.83,49.99,2.04,2.18,30.46,29.54,41.27,41.22,56,54.16,2.2,2.2,-0.15,0.93,0.05,1.84,0,6.69,92.6
"Stars","DAL","11-12",82,3880.02,48.46,49.18,49.66,49.35,47.93,2.2,2.34,28.56,29.52,40.66,41.22,54.97,56.43,2.01,2.18,-0.14,-0.96,-0.56,-1.46,-0.17,7.7,92.07
"Red Wings","DET","11-12",82,3875.2,59.5,55.12,55.14,55.18,54.66,2.76,1.88,31.87,25.95,43.45,35.35,57.12,46.39,2.39,1.98,0.88,5.93,8.1,10.73,0.41,8.67,92.75
"Oilers","EDM","11-12",82,3863.22,47.64,47.12,47.65,47.04,46.45,2.15,2.36,26.74,30.02,37.71,41.43,50.46,56.82,2.25,2.6,-0.21,-3.27,-3.72,-6.36,-0.34,8.03,92.13
"Panthers","FLA","11-12",82,3959.57,46.54,48.66,49.26,49.27,46.9,1.86,2.14,28.12,29.68,38.8,39.96,51.6,53.12,1.91,2.16,-0.28,-1.55,-1.16,-1.53,-0.25,6.61,92.8
"Kings","L.A","11-12",82,3805.73,50.37,54.26,53.96,55.16,52.55,1.86,1.83,30.77,25.95,44.16,37.68,60.03,48.8,2.26,2.04,0.03,4.83,6.48,11.22,0.22,6.04,92.94
"Wild","MIN","11-12",82,3882.6,41.13,45.05,44.19,43.57,47.21,1.58,2.26,25.19,30.73,34.89,44.07,46.93,60.77,1.95,2.18,-0.68,-5.54,-9.18,-13.85,-0.23,6.27,92.64
"Canadiens","MTL","11-12",82,3768.73,49.18,48.01,47.86,48.1,47.77,2.21,2.29,27.16,29.41,37.4,40.75,52.66,56.82,2.01,2.2,-0.07,-2.25,-3.35,-4.16,-0.19,8.15,92.23
"Devils","N.J","11-12",82,3945.6,48.83,50.43,50.71,50.71,52.2,2.1,2.2,26.16,25.71,35.12,34.14,46.16,44.87,2.08,1.91,-0.1,0.45,0.99,1.28,0.18,8.02,91.45
"Predators","NSH","11-12",82,4008.82,50.65,47.6,47.28,46.81,49.59,2.31,2.25,27.35,30.11,37.17,41.45,48.97,55.65,2.1,2.14,0.06,-2.76,-4.27,-6.68,-0.03,8.44,92.53
"Islanders","NYI","11-12",82,4008.07,42.47,49.08,48.35,47.14,48.63,1.92,2.61,28.28,29.35,38.61,41.24,51.88,58.17,2.42,2.55,-0.68,-1.07,-2.63,-6.29,-0.14,6.8,91.12
"Rangers","NYR","11-12",82,3885.4,53.73,50.35,49.65,48.08,51.4,2.3,1.98,27.67,27.28,37.79,38.32,50.15,54.15,2.53,2.39,0.32,0.39,-0.53,-4,0.14,8.31,92.74
"Senators","OTT","11-12",82,3856.15,50.8,50.29,50.59,51.85,48.76,2.47,2.39,30.96,30.6,43.02,42.02,59.19,54.97,2.3,2.42,0.08,0.36,1,4.22,-0.12,7.97,92.19
"Flyers","PHI","11-12",82,3704.83,53.62,52.24,51.28,51.16,52.04,2.69,2.33,31.08,28.42,42.28,40.17,57.43,54.82,2.59,2.38,0.36,2.66,2.11,2.61,0.2,8.65,91.81
"Penguins","PIT","11-12",82,3869.18,54.16,55.41,55.26,55.09,54.01,2.89,2.44,32.93,26.49,45.46,36.8,60.66,49.44,2.49,2.12,0.44,6.43,8.66,11.21,0.37,8.77,90.78
"Sharks","S.J","11-12",82,3990.12,51.82,53.44,53.09,51.84,53.89,2.11,1.96,32.08,27.95,44.07,38.95,59.25,55.06,2.39,2.04,0.15,4.13,5.13,4.2,0.34,6.57,92.99
"Blues","STL","11-12",82,3859.68,56.98,54.54,54.94,54.12,54.91,2.06,1.56,30.49,25.41,43.16,35.4,56.93,48.26,2.38,1.95,0.51,5.08,7.76,8.66,0.43,6.76,93.88
"Lightning","T.B","11-12",82,3918,48.02,47.13,46.93,46.3,47.78,2.57,2.78,26.29,29.5,36.47,41.24,49.23,57.1,2.09,2.28,-0.21,-3.21,-4.77,-7.86,-0.19,9.77,90.57
"Maple Leafs","TOR","11-12",82,3977.3,46.04,47.56,47.52,48.5,47.83,2.31,2.71,27.35,30.16,39.11,43.2,54.81,58.2,2.24,2.44,-0.4,-2.81,-4.09,-3.39,-0.2,8.46,91.01
"Canucks","VAN","11-12",82,3839.77,54.46,50.66,52.21,53.62,48.65,2.44,2.04,30.26,29.47,42.08,38.52,58.03,50.19,2.15,2.27,0.4,0.79,3.56,7.84,-0.12,8.07,93.07
"Jets","WPG","11-12",82,3914.38,49.87,50.89,51.13,50.29,50.69,2.34,2.35,29.95,28.9,42.62,40.73,55.8,55.16,2.47,2.4,-0.01,1.05,1.89,0.65,0.07,7.8,91.87
"Capitals","WSH","11-12",82,3953.63,50.15,48.59,48.84,48.59,49.93,2.21,2.2,27.45,29.04,38.31,40.13,52.43,55.48,2.06,2.06,0.01,-1.59,-1.81,-3.05,-0.01,8.05,92.43
"Ducks","ANA","12-13",48,2347.97,55.57,50.17,48.63,48.05,49.75,2.31,1.84,26.73,26.55,37.31,39.42,50.99,55.14,2.14,2.16,0.46,0.18,-2.11,-4.14,-0.02,8.63,93.06
"Coyotes","ARI","12-13",48,2264.97,51.24,50.4,50.82,50.74,49.68,2.26,2.15,30.71,30.23,43.63,42.22,57.64,55.95,2.28,2.31,0.11,0.48,1.41,1.69,-0.03,7.37,92.87
"Bruins","BOS","12-13",48,2323.95,55.58,54.48,54.9,55.4,53.55,2.37,1.89,32.96,27.55,45.97,37.77,62.91,50.65,2.44,2.11,0.48,5.42,8.2,12.26,0.32,7.19,93.13
"Sabres","BUF","12-13",48,2237.47,47.1,44.95,44.28,44.6,43.2,2.14,2.41,26.44,32.39,35.66,44.87,47.89,59.48,1.89,2.48,-0.26,-5.94,-9.21,-11.59,-0.59,8.1,92.57
"Hurricanes","CAR","12-13",48,2284.28,45.44,49.87,49.89,50.71,47.65,2.3,2.76,31.43,31.6,44.52,44.71,60.53,58.84,2.59,2.85,-0.46,-0.16,-0.19,1.69,-0.26,7.31,91.26
"Blue Jackets","CBJ","12-13",48,2294.65,51.46,45.83,45.79,47.24,45.99,2.17,2.05,24.94,29.47,33.71,39.91,47.42,52.97,1.74,2.04,0.12,-4.54,-6.2,-5.55,-0.3,8.69,93.06
"Flames","CGY","12-13",48,2320.93,40.23,47.27,46.91,46.72,48.02,2.11,3.14,26.61,29.69,37.1,41.99,49.95,56.96,2.21,2.39,-1.03,-3.08,-4.88,-7.01,-0.18,7.93,89.44
"Blackhawks","CHI","12-13",48,2315.92,61.34,56.17,56.31,55.68,54.39,2.8,1.76,31.3,24.42,42.01,32.59,56.68,45.12,2.36,1.98,1.03,6.88,9.42,11.57,0.38,8.94,92.78
"Avalanche","COL","12-13",48,2286.85,44.28,48.51,47.78,47.24,47.3,2.04,2.57,28.61,30.36,39.06,42.69,52.81,58.98,2.11,2.35,-0.53,-1.76,-3.63,-6.17,-0.24,7.14,91.53
"Stars","DAL","12-13",48,2233.57,50.35,46.5,47.02,48.7,46.29,2.48,2.44,26.03,29.95,37.71,42.49,53.25,56.09,2.17,2.52,0.03,-3.91,-4.78,-2.84,-0.35,9.52,91.84
"Red Wings","DET","12-13",48,2252.2,52.51,52.35,53.64,53.93,52.53,1.98,1.79,29.78,27.11,41.87,36.18,55.53,47.44,2.27,2.05,0.19,2.67,5.68,8.09,0.22,6.64,93.4
"Oilers","EDM","12-13",48,2243.88,47.04,45.04,44.99,44.44,44.54,2.16,2.43,26.49,32.33,36.93,45.14,48.71,60.91,2.14,2.67,-0.27,-5.83,-8.22,-12.2,-0.52,8.15,92.48
