Player,Pos,Team,Entries,Carries,Carry-in%.entries,Passes,Pass%.entries,Dump-ins,Recovered Dump-ins,Left,Center,Right,Fail,5v5 TOI,Entries/60,Carries/60,Passes/60,Recoveries,Targets,Carry-in,Dump-in,Break-up,Shots off Entries,Passes Allowed,Carry-in%.entry_defense,Break-up%,Pass%.entry_defense,Carry Denial,Pass Denial,Break-up?,Touches,Exits,Possession Exits,Exit%,Possession Exit%,Fail%,Assists,Carry,Pass,Dump,Clear,Fail.exits,Assisted Passes,Assisted Carries,Assisted Turnovers,Icing,Left.exits,Center.exits,Right.exits,5v5 TOI.exits,Touches/60,Exits/60,Possession/60,Fail/60,Assists/60,#,5v5 TOI.forechecking,Applied Pressure,Turnovers Forced,Clears Forced,Pressures/60,Disruptions/60,#.shots,Shots,On Goal,Missed,Chances,Deflection,One-timer,Rebounds,Wrist,Slapshot,Wraparound,Backhand,Passes.shots,A1,A2,A3,Solo Shots,5v5 TOI.shots,Shots/60,Chances/60,Passes/60.shots,A1/60,Contributions/60,PSC/60,Stretch Passes,Home Plate,Low-to-High,Behind Net,High Danger,Home Plate/60,L2H/60,BTN/60,HD/60,One-timer/60
Carl Dahlstrom,D,CHI,3,2,66.7%,0,0.0%,1,0,2,0,1,0,52.62,3.42,2.28,0,0,109,52,41,16,51,23,47.70%,14.70%,21.10%,-1.982,-0.304,1.24,23,13,7,56.5%,30.4%,34.8%,3,0,7,2,4,8,3,0,1,2,16,6,1,52.62,26.23,14.82,7.98,9.12,3.421,63,52.62,0,0,0,0,0,63,9,3,6,2,0,2,0,5,2,0,0,4,2,2,0,4,52.62,10.26,2.28,4.56,2.28,14.82,12.54,0,0,0,0,0,0,0,0,0,0
David Kampf,RW,CHI,85,51,60.0%,21,24.7%,34,11,30,28,43,16,294.15,17.34,10.4,4.28,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,64,34,79.0%,42.0%,21.0%,5,20,14,5,25,17,5,0,1,0,33,16,32,294.15,16.52,13.05,6.94,3.47,1.020,64,294.15,43,15,16,8.77,6.32,64,45,36,9,26,2,0,6,31,1,0,5,61,34,24,3,15,294.15,9.18,5.3,12.44,6.94,21.62,16.11,4,1,6,2,3,0.2,1.22,0.41,0.61,0.61
Alexandre Fortin,LW,CHI,59,42,71.2%,11,18.6%,17,6,31,13,22,7,149.96,23.61,16.8,4.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,24,14,10,13,2,0,2,19,0,0,1,22,16,6,0,8,149.96,9.6,5.2,8.8,6.4,18.4,16,1,0,4,1,1,0,1.6,0.4,0.4,0.4
Patrick Kane,RW,CHI,191,140,73.3%,66,34.6%,51,5,53,51,115,28,428.7,26.73,19.59,9.24,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,137,107,86.7%,67.7%,12.0%,17,62,45,7,23,19,14,3,2,2,30,39,89,428.7,22.11,19.17,14.98,2.66,2.379,88,428.7,68,28,14,9.52,5.88,88,110,64,46,45,1,7,2,85,3,1,11,165,103,47,15,27,428.7,15.4,6.3,23.09,14.42,38.49,29.81,0,5,20,6,11,0.7,2.8,0.84,1.54,3.22
Dylan Sikura,RW,CHI,135,96,71.1%,46,34.1%,39,4,33,34,90,22,344.21,23.53,16.73,8.02,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,7,83.3%,58.3%,16.7%,0,4,3,0,3,2,0,0,0,0,9,1,2,31.07,23.17,19.31,13.52,3.86,0.000,95,31.07,6,1,2,11.59,5.79,95,3,3,0,2,0,0,1,0,1,0,1,3,2,1,0,1,31.07,5.79,3.86,5.79,3.86,11.59,9.66,0,0,0,1,1,0,0,1.93,1.93,0
Tyson Barrie,D,COL,21,8,38.1%,2,9.5%,13,0,6,3,12,0,188.65,6.68,2.54,0.64,0,156,101,38,17,85,36,64.70%,10.90%,23.10%,0.259,0.13,0.248,100,78,41,78.0%,41.0%,19.0%,16,4,37,14,23,19,12,4,5,3,20,12,68,188.65,31.805,24.808,13.04,6.043,5.089,NA,NA,NA,NA,NA,NA,NA,4,34,16,18,7,0,9,0,24,1,0,0,39,21,12,6,5,188.65,10.81,2.23,12.4,6.68,23.22,17.49,3,1,0,0,1,0.32,0,0,0.32,1.91
Erik Johnson,D,COL,31,12,38.7%,3,9.7%,19,0,5,5,21,0,199.89,9.31,3.6,0.9,0,170,108,49,13,73,30,63.50%,7.60%,17.60%,0.099,-1.063,-0.605,100,66,27,66.0%,27.0%,30.0%,19,6,21,13,26,30,12,7,3,4,17,13,70,199.89,30.017,19.811,8.104,9.005,5.703,NA,NA,NA,NA,NA,NA,NA,6,42,21,21,5,0,11,1,28,2,0,0,34,17,10,7,10,199.89,12.61,1.5,10.21,5.1,22.81,17.71,1,1,1,0,1,0.3,0.3,0,0.3,0.6
Sven Andrighetto,RW,COL,18,11,61.1%,5,27.8%,7,1,9,2,7,0,53.62,20.14,12.31,5.59,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,16,8,84.2%,42.1%,15.8%,1,3,5,2,6,3,1,0,0,0,12,4,3,53.62,21.261,17.904,8.952,3.357,1.119,NA,NA,NA,NA,NA,NA,NA,10,19,8,11,4,2,1,0,14,1,0,1,16,13,2,1,3,53.62,21.26,4.48,17.9,14.55,39.16,35.81,0,1,8,0,1,1.12,8.95,0,1.12,4.48
Matt Calvert,LW,COL,50,20,40.0%,5,10.0%,30,8,18,15,19,2,133,22.56,9.02,2.26,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,27,17,79.4%,50.0%,17.6%,1,9,8,1,9,6,0,1,0,1,9,3,22,133,15.338,12.18,7.669,2.707,0.451,NA,NA,NA,NA,NA,NA,NA,11,16,13,3,8,1,0,1,12,0,1,1,21,15,3,3,6,133,7.22,3.61,9.47,6.77,16.69,13.98,0,1,5,2,3,0.45,2.26,0.9,1.35,2.26
Patrik Nemeth,D,COL,16,7,43.8%,3,18.8%,9,0,11,3,3,1,136.05,7.06,3.09,1.32,0,96,65,24,7,41,27,67.70%,7.30%,28.10%,0.649,1.239,-0.698,57,37,18,64.9%,31.6%,31.6%,12,5,13,5,14,18,11,1,7,2,29,3,25,136.05,25.138,16.318,7.938,7.938,5.292,NA,NA,NA,NA,NA,NA,NA,12,13,5,8,0,0,3,0,10,0,0,0,12,3,8,1,3,136.05,5.73,0,5.29,1.32,11.03,7.06,0,1,0,0,1,0.44,0,0,0.44,0
Alexander Kerfoot,LW,COL,46,28,60.9%,9,19.6%,18,7,23,8,20,5,137.6,20.06,12.21,3.92,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,34,17,77.3%,38.6%,22.7%,3,9,8,7,10,10,3,0,1,0,25,6,13,137.6,19.186,14.826,7.413,4.36,1.308,NA,NA,NA,NA,NA,NA,NA,13,26,16,10,13,3,2,3,15,0,0,2,51,32,17,2,7,137.6,11.34,5.67,22.24,13.95,33.58,25.29,0,0,11,0,0,0,4.8,0,0,2.18
Sheldon Dries,RW,COL,8,5,62.5%,1,12.5%,3,2,5,2,2,1,25.27,18.99,11.87,2.37,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,4,55.6%,44.4%,33.3%,1,1,3,1,0,3,1,0,0,1,4,3,2,25.27,21.369,11.872,9.497,7.123,2.374,NA,NA,NA,NA,NA,NA,NA,15,10,9,1,2,0,0,0,10,0,0,0,2,1,1,0,5,25.27,23.74,4.75,4.75,2.37,28.49,26.12,0,0,0,0,0,0,0,0,0,0
Nikita Zadorov,D,COL,20,5,25.0%,1,5.0%,15,0,9,3,9,1,159.58,7.52,1.88,0.38,0,123,75,37,11,64,32,61.00%,8.90%,26.00%,-0.237,0.776,-0.265,89,64,29,71.9%,32.6%,27.0%,7,5,24,10,25,24,4,3,2,1,45,9,35,159.58,33.463,24.063,10.904,9.024,2.632,NA,NA,NA,NA,NA,NA,NA,16,23,10,13,1,0,4,0,13,6,0,0,14,8,3,3,5,159.58,8.65,0.38,5.26,3.01,13.91,11.66,1,0,1,0,0,0,0.38,0,0,0.38
Tyson Jost,C,COL,31,13,41.9%,4,12.9%,18,9,15,10,9,3,122.52,15.18,6.37,1.96,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,31,15,88.6%,42.9%,11.4%,1,5,10,5,11,4,0,1,1,0,18,4,13,122.52,17.14,15.181,7.346,1.959,0.490,NA,NA,NA,NA,NA,NA,NA,17,17,9,8,3,0,2,0,15,0,0,0,22,11,9,2,4,122.52,8.33,1.47,10.77,5.39,19.1,13.71,0,0,1,0,0,0,0.49,0,0,0.49
Colin Wilson,RW,COL,47,32,68.1%,12,25.5%,15,5,17,7,27,4,124.37,22.67,15.44,5.79,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,34,19,87.2%,48.7%,7.7%,4,9,10,2,13,3,3,1,0,2,10,3,26,124.37,18.815,16.403,9.166,1.447,1.930,NA,NA,NA,NA,NA,NA,NA,22,20,12,8,7,1,1,1,14,0,0,3,40,29,8,3,5,124.37,9.65,3.38,19.3,13.99,28.95,23.64,0,0,11,1,1,0,5.31,0.48,0.48,1.45
Ian Cole,D,COL,27,4,14.8%,1,3.7%,23,0,20,1,6,0,178.32,9.08,1.35,0.34,0,132,89,33,10,62,39,67.40%,7.60%,29.50%,0.612,1.552,-0.624,89,55,29,61.8%,32.6%,34.8%,14,4,25,10,16,31,10,4,3,3,54,5,30,178.32,29.946,18.506,9.758,10.431,4.711,NA,NA,NA,NA,NA,NA,NA,28,21,8,13,0,0,7,0,7,7,0,0,19,9,8,2,3,178.32,7.07,0,6.39,3.03,13.46,10.09,0,0,1,0,0,0,0.34,0,0,0.67
Nathan Mackinnon,C,COL,76,65,85.5%,19,25.0%,11,7,41,19,30,14,192.63,23.67,20.25,5.92,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,45,35,84.9%,66.0%,13.2%,5,28,7,4,6,7,3,2,1,1,22,6,25,192.63,16.508,14.017,10.902,2.18,1.557,NA,NA,NA,NA,NA,NA,NA,29,50,37,13,25,4,9,3,26,2,0,6,64,42,21,1,11,192.63,15.57,7.79,19.93,13.08,35.51,28.66,0,1,8,1,2,0.31,2.49,0.31,0.62,4.67
Carl Soderberg,C,COL,36,21,58.3%,6,16.7%,15,6,18,9,9,1,131.23,16.46,9.6,2.74,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,25,13,80.6%,41.9%,12.9%,2,5,8,5,7,4,2,0,1,2,16,1,14,131.23,14.174,11.43,5.944,1.829,0.914,NA,NA,NA,NA,NA,NA,NA,34,23,14,9,8,0,3,1,16,0,1,2,33,21,10,2,10,131.23,10.52,3.66,15.09,9.6,25.6,20.12,0,0,6,2,2,0,2.74,0.91,0.91,1.37
JT Compher,C,COL,11,7,63.6%,3,27.3%,4,0,4,2,6,1,41.03,16.09,10.24,4.39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8,5,72.7%,45.5%,27.3%,1,3,2,0,3,3,1,0,0,0,7,0,4,41.03,16.086,11.699,7.312,4.387,1.462,NA,NA,NA,NA,NA,NA,NA,37,7,7,0,5,0,2,1,4,0,0,0,7,5,1,1,3,41.03,10.24,7.31,10.24,7.31,20.47,17.55,0,0,3,0,0,0,4.39,0,0,1.46
Mark Barberio,D,COL,2,0,0.0%,0,0.0%,2,0,1,0,1,0,19.9,6.03,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,3,66.7%,33.3%,33.3%,5,0,3,0,3,3,5,0,3,0,3,1,5,19.9,27.136,18.09,9.045,9.045,15.075,NA,NA,NA,NA,NA,NA,NA,44,4,3,1,0,0,2,0,1,1,0,0,1,0,1,0,0,19.9,12.06,0,3.02,0,15.08,12.06,0,0,0,0,0,0,0,0,0,0
Samuel Girard,D,COL,38,18,47.4%,10,26.3%,20,1,24,6,8,0,204.63,11.14,5.28,2.93,0.29,149,99,40,10,82,32,66.40%,6.70%,21.50%,0.483,-0.222,-0.851,103,80,51,77.7%,49.5%,19.4%,29,15,36,11,18,20,23,6,8,3,45,26,32,204.63,30.201,23.457,14.954,5.864,8.503,NA,NA,NA,NA,NA,NA,NA,49,32,14,18,2,0,5,0,23,4,0,0,52,24,17,11,3,204.63,9.38,0.59,15.25,7.04,24.63,16.42,3,1,4,0,1,0.29,1.17,0,0.29,0.88
Marko Dano,LW,COL,4,3,75.0%,0,0.0%,1,1,2,2,2,2,22.78,10.54,7.9,0,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabriel Bourque,LW,COL,24,10,41.7%,4,16.7%,14,3,8,2,17,3,90.23,15.96,6.65,2.66,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,3,68.8%,18.8%,31.3%,1,1,2,2,6,5,1,0,0,0,4,2,10,90.23,10.639,7.315,1.995,3.325,0.665,NA,NA,NA,NA,NA,NA,NA,57,6,2,4,1,0,2,0,4,0,0,0,13,6,7,0,0,90.23,3.99,0.66,8.64,3.99,12.63,7.98,0,0,1,2,2,0,0.66,1.33,1.33,0.66
Matt Nieto,RW,COL,43,20,46.5%,7,16.3%,23,7,27,5,15,4,125.87,20.5,9.53,3.34,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,43,23,89.6%,47.9%,10.4%,1,10,13,4,16,5,1,0,0,0,35,3,10,125.87,22.881,20.497,10.964,2.383,0.477,NA,NA,NA,NA,NA,NA,NA,83,16,12,4,12,3,4,2,6,0,0,1,33,22,10,1,3,125.87,7.63,5.72,15.73,10.49,23.36,18.11,1,0,9,1,1,0,4.29,0.48,0.48,3.34
Vladislav Kamanev,rw,COL,14,6,42.9%,1,7.1%,8,2,7,2,7,2,50.87,16.51,7.08,1.18,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabriel Landeskog,LW,COL,45,25,55.6%,8,17.8%,20,4,22,16,16,9,180.48,14.96,8.31,2.66,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,45,28,83.3%,51.9%,16.7%,4,12,16,4,13,9,2,2,0,0,27,13,14,180.48,17.952,14.96,9.309,2.992,1.330,NA,NA,NA,NA,NA,NA,NA,92,28,18,10,15,1,3,1,15,2,3,3,35,22,8,5,7,180.48,9.31,4.99,11.64,7.31,20.94,16.62,1,0,4,3,3,0,1.33,1,1,1.99
Mikko Rantanen,RW,COL,56,37,66.1%,20,35.7%,19,5,25,20,18,7,182.02,18.46,12.2,6.59,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,59,41,85.5%,59.4%,13.0%,2,21,20,5,13,9,1,1,2,1,18,9,42,182.02,22.745,19.448,13.515,2.967,0.659,NA,NA,NA,NA,NA,NA,NA,96,23,16,7,14,2,3,1,13,1,0,3,54,32,16,6,3,182.02,7.58,4.61,17.8,10.55,25.38,18.13,0,4,6,8,12,1.32,1.98,2.64,3.96,2.97
John Klingberg,D,DAL,21,13,61.9%,8,38.1%,8,0,4,9,12,4,185.35,6.8,4.21,2.59,0,189,146,35,8,110,50,77.20%,4.20%,26.50%,1.904,0.872,-1.501,126,96,49,76.2%,38.9%,19.0%,18,10,39,15,32,24,12,6,NA,NA,2,6,20,185.35,40.79,31.08,15.86,7.77,5.827,NA,NA,NA,NA,NA,NA,NA,3,32,18,14,3,0,8,0,23,1,0,0,48,20,18,10,3,185.35,10.36,0.97,15.54,6.47,25.9,16.83,5,0,2,0,0,0,0.65,0,0,1.62
Miro Heiskanen,D,DAL,30,11,36.7%,6,20.0%,19,0,16,6,10,2,175.63,10.25,3.76,2.05,0,187,111,55,21,83,35,59.40%,11.20%,18.70%,-0.449,-0.828,0.335,120,91,45,75.8%,37.5%,21.7%,8,18,27,7,39,26,6,2,NA,NA,9,3,58,175.63,41,31.09,15.37,8.88,2.733,NA,NA,NA,NA,NA,NA,NA,4,26,10,16,5,0,5,0,18,1,1,1,34,18,13,3,2,175.63,8.88,1.71,11.62,6.15,20.5,15.03,0,0,2,0,0,0,0.68,0,0,1.37
Connor Carrick,D,DAL,12,3,25.0%,1,8.3%,9,0,3,2,7,0,136.17,5.29,1.32,0.44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,47,27,70.1%,40.3%,23.9%,8,5,22,6,14,16,6,2,NA,NA,5,4,13,136.17,29.52,20.71,11.9,7.05,3.525,NA,NA,NA,NA,NA,NA,NA,5,22,9,13,5,0,6,1,13,2,0,0,15,9,6,0,6,136.17,9.69,2.2,6.61,3.97,16.3,13.66,2,1,0,1,2,0.44,0,0.44,0.88,0.44
Julius Honka,D,DAL,10,4,40.0%,3,30.0%,6,0,3,3,4,0,85.55,7.01,2.81,2.1,0,73,42,25,6,30,14,57.50%,8.20%,19.20%,-0.689,-0.727,-0.455,60,42,22,70.0%,36.7%,26.7%,9,7,15,8,12,16,7,2,NA,NA,1,2,19,85.55,42.08,29.46,15.43,11.22,6.312,NA,NA,NA,NA,NA,NA,NA,6,14,11,3,2,0,1,0,9,3,0,0,12,5,3,4,3,85.55,9.82,1.4,8.42,3.51,18.23,13.33,1,0,0,0,0,0,0,0,0,0
Radek Faksa,C,DAL,47,22,46.8%,9,19.1%,25,6,24,6,18,1,139.08,20.28,9.49,3.88,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,24,15,68.6%,42.9%,28.6%,5,5,10,2,7,10,4,1,NA,NA,0,1,17,139.08,15.1,10.35,6.47,4.31,2.157,NA,NA,NA,NA,NA,NA,NA,12,16,7,9,6,0,0,2,9,2,0,3,24,12,4,8,11,139.08,6.9,2.59,10.35,5.18,17.26,12.08,0,0,4,0,0,0,1.73,0,0,0
Mattias Janmark,LW,DAL,44,28,63.6%,8,18.2%,16,6,25,9,15,5,131.22,20.12,12.8,3.66,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,37,22,88.1%,52.4%,11.9%,2,14,8,3,12,5,2,0,NA,NA,0,0,23,131.22,19.2,16.92,10.06,2.29,0.914,NA,NA,NA,NA,NA,NA,NA,13,20,14,6,8,2,1,1,12,2,0,2,21,13,7,1,8,131.22,9.14,3.66,9.6,5.94,18.75,15.09,2,1,2,0,1,0.46,0.91,0,0.46,0.91
Jamie Benn,LW,DAL,38,22,57.9%,9,23.7%,16,5,24,8,13,7,138.92,16.41,9.5,3.89,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,49,24,83.1%,40.7%,11.9%,5,14,10,6,19,7,4,1,NA,NA,0,3,42,138.92,25.48,21.16,10.37,3.02,2.160,NA,NA,NA,NA,NA,NA,NA,14,24,17,7,9,2,2,0,18,1,1,0,38,26,7,5,2,138.92,10.37,3.89,16.41,11.23,26.78,21.6,1,2,5,3,5,0.86,2.16,1.3,2.16,3.46
Blake Comeau,RW,DAL,31,14,45.2%,6,19.4%,17,4,17,6,11,4,124.72,14.91,6.74,2.89,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,16,4,61.5%,15.4%,30.8%,4,2,2,3,9,8,2,2,NA,NA,0,2,7,124.72,12.51,7.7,1.92,3.85,1.924,NA,NA,NA,NA,NA,NA,NA,15,22,11,11,7,2,3,1,14,1,0,1,20,14,4,2,6,124.72,10.58,3.37,9.62,6.74,20.21,17.32,0,1,5,0,1,0.48,2.41,0,0.48,0.96
Jason Dickinson,LW,DAL,25,12,48.0%,2,8.0%,13,3,14,3,11,3,79.67,18.83,9.04,1.51,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,26,14,78.8%,42.4%,18.2%,1,9,5,1,11,6,0,1,NA,NA,1,1,22,79.67,24.85,19.58,10.54,4.52,0.753,NA,NA,NA,NA,NA,NA,NA,16,18,15,3,8,0,0,0,14,1,1,1,13,10,2,1,7,79.67,13.56,6.02,9.79,7.53,23.35,21.09,0,0,4,1,1,0,3.01,0.75,0.75,1.51
Devin Shore,LW,DAL,34,18,52.9%,4,11.8%,16,4,21,3,12,2,116.75,17.47,9.25,2.06,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,20,13,76.9%,50.0%,11.5%,3,10,3,2,5,3,0,3,NA,NA,1,3,10,116.75,13.36,10.28,6.68,1.54,1.542,NA,NA,NA,NA,NA,NA,NA,17,10,9,1,5,0,0,3,6,0,0,1,30,19,9,2,7,116.75,5.14,2.57,15.42,9.76,20.56,14.9,0,1,7,1,2,0.51,3.6,0.51,1.03,1.03
Tyler Pitlick,RW,DAL,41,20,48.8%,3,7.3%,21,4,16,4,24,3,126.78,19.4,9.47,1.42,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,39,12,75.0%,23.1%,23.1%,4,7,5,5,22,12,1,3,NA,NA,0,1,10,126.78,24.61,18.46,5.68,5.68,1.893,NA,NA,NA,NA,NA,NA,NA,18,19,12,7,9,0,1,2,13,0,0,3,26,12,12,2,6,126.78,8.99,4.26,12.3,5.68,21.3,14.67,0,0,7,0,0,0,3.31,0,0,0.95
Esa Lindell,D,DAL,16,2,12.5%,2,12.5%,14,0,14,1,1,0,192.7,4.98,0.62,0.62,0,246,128,89,29,103,52,52.00%,11.80%,21.10%,-1.413,-0.296,0.482,107,78,23,72.9%,21.5%,22.4%,14,8,15,18,37,24,10,4,NA,NA,5,5,72,192.7,33.32,24.29,7.16,7.47,4.359,NA,NA,NA,NA,NA,NA,NA,23,32,13,19,2,1,9,0,19,3,0,0,36,17,13,6,8,192.7,9.96,0.62,11.21,5.29,21.17,15.26,2,0,0,0,0,0,0,0,0,0.31
Roope Hintz,C,DAL,8,4,50.0%,2,25.0%,4,2,4,1,3,0,52.55,9.13,4.57,2.28,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,19,11,90.5%,52.4%,9.5%,0,4,7,4,4,2,0,0,NA,NA,0,0,9,52.55,23.98,21.69,12.56,2.28,0.000,NA,NA,NA,NA,NA,NA,NA,24,4,3,1,2,0,0,2,2,0,0,0,9,8,1,0,3,52.55,4.57,2.28,10.28,9.13,14.84,13.7,0,0,0,2,2,0,0,2.28,2.28,3.43
Brett Ritchie,RW,DAL,28,12,42.9%,4,14.3%,16,1,15,0,16,3,82.9,20.27,8.69,2.9,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,15,5,68.2%,22.7%,22.7%,1,3,2,2,8,5,0,1,NA,NA,0,2,4,82.9,15.92,10.86,3.62,3.62,0.724,NA,NA,NA,NA,NA,NA,NA,25,13,9,4,6,1,0,1,10,0,0,1,11,6,5,0,6,82.9,9.41,4.34,7.96,4.34,17.37,13.75,0,0,1,1,1,0,0.72,0.72,0.72,0
Marc Methot,D,DAL,6,1,16.7%,0,0.0%,5,0,6,0,0,0,101.75,3.54,0.59,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,26,8,78.8%,24.2%,15.2%,17,1,7,5,13,5,12,5,NA,NA,4,2,21,101.75,19.46,15.33,4.72,2.95,10.025,NA,NA,NA,NA,NA,NA,NA,33,4,1,3,1,0,1,0,3,0,0,0,14,8,4,2,0,101.75,2.36,0.59,8.26,4.72,10.61,7.08,1,0,1,1,1,0,0.59,0.59,0.59,0.59
Justin Dowling,LW,DAL,14,8,57.1%,3,21.4%,6,1,4,3,10,3,38.23,21.97,12.56,4.71,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,5,81.3%,31.3%,12.5%,1,2,3,0,8,2,1,0,NA,NA,0,0,7,38.23,25.11,20.4,7.85,3.14,1.569,NA,NA,NA,NA,NA,NA,NA,37,6,2,4,1,1,0,0,5,0,0,0,7,2,2,3,0,38.23,9.42,1.57,10.99,3.14,20.4,12.56,0,0,0,0,0,0,0,0,0,0
Valeri Nichushkin,RW,DAL,15,9,60.0%,2,13.3%,6,1,7,4,8,4,55.2,16.3,9.78,2.17,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,17,13,89.5%,68.4%,10.5%,2,6,7,1,3,2,1,1,NA,NA,0,0,5,55.2,20.65,18.48,14.13,2.17,2.174,NA,NA,NA,NA,NA,NA,NA,43,11,10,1,8,2,0,2,5,0,0,2,16,11,1,4,4,55.2,11.96,8.7,17.39,11.96,29.35,23.91,0,0,3,2,2,0,3.26,2.17,2.17,2.17
Roman Polak,D,DAL,12,0,0.0%,0,0.0%,12,0,5,1,6,0,94.63,7.61,0,0,0,163,112,43,8,78,41,68.70%,4.90%,25.20%,0.781,0.586,-1.324,50,31,8,62.0%,16.0%,28.0%,6,3,5,6,17,14,3,3,NA,NA,5,4,11,94.63,31.7,19.66,5.07,8.88,3.804,NA,NA,NA,NA,NA,NA,NA,45,11,5,6,3,0,3,0,5,2,0,1,6,2,4,0,0,94.63,6.97,1.9,3.8,1.27,10.78,8.24,0,0,0,0,0,0,0,0,0,0.63
Gemel Smith,LW,DAL,13,7,53.8%,1,7.7%,6,1,2,6,5,0,29.03,26.87,14.47,2.07,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,5,63.6%,45.5%,27.3%,1,4,1,0,2,3,1,0,NA,NA,0,1,7,29.03,22.74,14.47,10.33,6.2,2.067,NA,NA,NA,NA,NA,NA,NA,46,4,2,2,2,1,0,0,3,0,0,0,4,1,3,0,1,29.03,8.27,4.13,8.27,2.07,16.53,10.33,0,0,0,0,0,0,0,0,0,0
Alex Radulov,RW,DAL,29,16,55.2%,4,13.8%,13,1,7,5,20,3,82.35,21.13,11.66,2.91,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,20,9,74.1%,33.3%,22.2%,1,4,5,2,9,6,0,1,NA,NA,0,1,5,82.35,19.67,14.57,6.56,4.37,0.729,NA,NA,NA,NA,NA,NA,NA,47,22,11,11,8,1,3,0,14,1,0,3,32,19,11,2,7,82.35,16.03,5.83,23.32,13.84,39.34,29.87,0,1,2,5,6,0.73,1.46,3.64,4.37,2.91
