Player,Pos,Team,Entries,Carries,Carry-in%.entries,Passes,Pass%.entries,Dump-ins,Recovered Dump-ins,Left,Center,Right,Fail,5v5 TOI,Entries/60,Carries/60,Passes/60,Recoveries,Targets,Carry-in,Dump-in,Break-up,Shots off Entries,Passes Allowed,Carry-in%.entry_defense,Break-up%,Pass%.entry_defense,Carry Denial,Pass Denial,Break-up?,Touches,Exits,Possession Exits,Exit%,Possession Exit%,Fail%,Assists,Carry,Pass,Dump,Clear,Fail.exits,Assisted Passes,Assisted Carries,Assisted Turnovers,Icing,Left.exits,Center.exits,Right.exits,5v5 TOI.exits,Touches/60,Exits/60,Possession/60,Fail/60,Assists/60,#,5v5 TOI.forechecking,Applied Pressure,Turnovers Forced,Clears Forced,Pressures/60,Disruptions/60,#.shots,Shots,On Goal,Missed,Chances,Deflection,One-timer,Rebounds,Wrist,Slapshot,Wraparound,Backhand,Passes.shots,A1,A2,A3,Solo Shots,5v5 TOI.shots,Shots/60,Chances/60,Passes/60.shots,A1/60,Contributions/60,PSC/60,Stretch Passes,Home Plate,Low-to-High,Behind Net,High Danger,Home Plate/60,L2H/60,BTN/60,HD/60,One-timer/60
Valtteri Filppula,C,NYI,20,14,70.0%,6,30.0%,6,8,8,2,10,0,121.8,9.85,6.9,2.96,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,26,18,83.9%,58.1%,16.1%,1,5,13,4,4,5,0,1,1,0,14,8,9,121.8,15.27,12.81,8.87,2.46,0.493,51,121.8,23,11,6,11.33,8.37,51,11,9,2,6,0,0,1,9,0,0,1,33,25,6,2,6,121.8,5.42,2.96,16.26,12.32,21.67,17.73,0,1,10,3,4,0.49,4.93,1.48,1.97,1.48
Casey Cizikas,C,NYI,35,14,40.0%,4,11.4%,21,7,12,3,21,1,94.15,22.3,8.92,2.55,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,19,9,79.2%,37.5%,20.8%,0,6,3,1,9,5,0,0,0,0,10,3,11,94.15,15.29,12.11,5.74,3.19,0.000,53,94.15,16,8,4,10.2,7.65,53,12,11,1,3,1,0,1,10,0,0,0,23,19,4,0,7,94.15,7.65,1.91,14.66,12.11,22.3,19.76,0,2,10,2,4,1.27,6.37,1.27,2.55,2.55
Johnny Boychuk,D,NYI,31,2,6.5%,0,0.0%,29,0,6,1,25,1,164.05,11.34,0.73,0,0,177,117,49,11,89,42,66.10%,6.20%,23.70%,0.438,0.273,-0.981,68,40,7,58.8%,10.3%,33.8%,8,3,4,14,19,23,7,1,4,5,13,5,50,164.05,24.87,14.63,2.56,8.41,2.926,55,164.05,0,0,0,0,0,55,44,23,21,2,0,10,0,26,8,0,0,12,5,6,1,11,164.05,16.09,0.73,4.39,1.83,20.48,17.92,1,0,0,0,0,0,0,0,0,0
Cody McLeod,LW,NYR,13,5,38.5%,1,7.7%,8,1,6,3,4,0,55.72,14,5.38,1.08,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,8,2,6,2,0,1,2,0,1,3,5,2,2,1,4,55.72,10.77,6.46,5.38,2.15,16.15,12.92,0,0,0,0,0,0,0,0,0,0
Kevin Hayes,C,NYR,45,28,62.2%,10,22.2%,17,5,17,9,26,7,171.4,15.75,9.8,3.5,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,37,19,82.2%,42.2%,15.6%,1,11,8,3,15,7,0,1,0,1,22,8,15,171.4,15.75,12.95,6.65,2.45,0.350,13,171.4,28,16,7,9.8,8.05,13,28,15,13,15,2,1,1,20,2,1,1,44,33,10,1,10,171.4,9.8,5.25,15.4,11.55,25.2,21.35,0,4,8,5,9,1.4,2.8,1.75,3.15,2.45
Jesper Fast,RW,NYR,52,15,28.8%,6,11.5%,37,7,22,10,22,2,172.58,18.08,5.21,2.09,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,25,14,75.8%,42.4%,21.2%,1,5,9,4,7,7,1,0,2,1,9,2,22,172.58,11.47,8.69,4.87,2.43,0.348,17,172.58,31,17,7,10.78,8.34,17,27,18,9,16,3,4,2,14,1,0,3,33,20,10,3,8,172.58,9.39,5.56,11.47,6.95,20.86,16.34,0,2,1,1,3,0.7,0.35,0.35,1.04,1.74
Marc Staal,D,NYR,19,1,5.3%,0,0.0%,18,1,14,1,4,0,195.9,5.82,0.31,0,0.31,165,102,46,17,73,29,61.80%,10.30%,17.60%,-0.126,-1.079,0.092,61,42,19,68.9%,31.1%,31.1%,12,5,14,6,17,19,8,4,3,0,39,5,17,195.9,18.68,12.86,5.82,5.82,3.675,18,195.9,4,2,17,1.23,5.82,18,26,14,12,1,0,4,1,15,5,0,1,21,12,9,0,8,195.9,7.96,0.31,6.43,3.68,14.4,11.64,2,1,0,0,1,0.31,0,0,0.31,0.31
Chris Kreider,LW,NYR,49,23,46.9%,5,10.2%,26,4,25,4,21,1,167.57,17.54,8.24,1.79,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,37,23,94.9%,59.0%,5.1%,3,11,12,5,9,2,3,0,3,0,26,5,8,167.57,13.96,13.25,8.24,0.72,1.074,20,167.57,12,5,4,4.3,3.22,20,37,25,12,14,5,3,1,25,2,0,1,20,15,2,3,10,167.57,13.25,5.01,7.16,5.37,20.41,18.62,0,0,6,2,2,0,2.15,0.72,0.72,0.36
Brett Howden,C,NYR,32,17,53.1%,8,25.0%,15,8,15,5,18,6,154.85,12.4,6.59,3.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,34,22,79.1%,51.2%,18.6%,2,8,14,4,8,8,2,0,1,1,20,7,16,154.85,16.66,13.17,8.52,3.1,0.775,21,154.85,21,11,8,8.14,7.36,21,13,9,4,9,1,2,2,6,0,0,2,36,24,11,1,5,154.85,5.04,3.49,13.95,9.3,18.99,14.34,1,1,3,6,7,0.39,1.16,2.32,2.71,1.16
Kevin Shattenkirk,D,NYR,18,5,27.8%,2,11.1%,13,0,4,3,11,0,176.12,6.13,1.7,0.68,0,114,78,27,9,54,37,68.40%,7.90%,32.50%,0.743,2.191,-0.54,79,61,30,77.2%,38.0%,16.5%,13,5,25,9,22,13,11,2,2,5,18,13,48,176.12,26.91,20.78,10.22,4.43,4.429,22,176.12,16,6,7,5.45,4.43,22,34,12,22,3,0,9,0,24,1,0,0,23,12,8,3,6,176.12,11.58,1.02,7.84,4.09,19.42,15.67,4,0,0,0,0,0,0,0,0,0
