Players,Sum of 5v5 TOI,5v5 Entries,Carry-ins,Failed Entries,Entries w/ Passing Play...6,Recovered Dump-ins,Carries w/Chances,Dump-ins w/ Chances,Forecheck Pressures,Entries/60,Carries/60,Carry%,Pass%...14,Carry Chance%,Pressures/60,Recoveries/60,Entries w/ Chances per 60,Entries w/ Passing Play...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,Player,Sum of 5v5 TOI2,Entry Targets,Carrires Against,Entry Denials,Passes Allowed,Carries w/ Chance Allowed,Dump-in w/ Chance Allowed,Carry Against%,Denial%,Pass%...39,Chance Against%,Targets per 60,Carries Against per 60,Denials per 60,Chances Allowed per 60,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56
Alex Formenton,333.28,93,49,10,7,14,11,4,33,16.743,8.821,52.7%,7.5%,22.4%,5.94,2.52,2.7,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben Harpur,73.28333332,28,18,1,7,4,1,64.29%,3.6%,38.9%,17.9%,22.9247214,14.7373209,0.81874005,4.093700251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Galchenyuk,164.7166667,36,16,8,6,6,3,0,4,13.113,5.828,44.4%,16.7%,18.8%,1.46,2.19,1.09,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben Hutton,381.8666667,144,92,12,26,17,3,63.89%,8.3%,28.3%,13.9%,22.62569832,14.45530726,1.88547486,3.142458101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Goligoski,507.08,49,12,4,2,0,1,1,3,5.798,1.42,24.5%,4.1%,8.3%,0.35,0,0.24,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bowen Byram,269.8333333,105,67,8,16,17,2,63.81%,7.6%,23.9%,18.1%,23.34774552,14.89808524,1.778875849,4.224830142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Iafallo,400.0333333,111,61,10,15,15,11,5,41,16.649,9.149,55.0%,13.5%,18.0%,6.15,2.25,2.4,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brad Hunt,237.6666667,91,68,5,15,20,2,74.73%,5.5%,22.1%,24.2%,22.97335203,17.16690042,1.26227209,5.553997195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Killorn,451.1666667,121,59,18,19,27,15,6,32,16.092,7.846,48.8%,15.7%,25.4%,4.26,3.59,2.79,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,Braden Schneider,271.3333333,109,67,10,38,13,3,61.47%,9.2%,56.7%,14.7%,24.1031941,14.81572482,2.211302211,3.538083538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Newhook,414.03,109,69,11,19,23,23,1,20,15.796,9.999,63.3%,17.4%,33.3%,2.9,3.33,3.48,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brady Skjei,612.017,248,133,42,31,29,6,53.63%,16.9%,23.3%,14.1%,24.31306337,13.0388606,4.117534925,3.431279105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Ovechkin,485.2,104,68,25,23,21,27,4,28,12.861,8.409,65.4%,22.1%,39.7%,3.46,2.6,3.83,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brandon Carlo,484.25,185,97,18,24,20,3,52.43%,9.7%,24.7%,12.4%,22.9220444,12.01858544,2.230252969,2.849767682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Pietrangelo,668.12,112,58,4,17,3,12,2,6,10.058,5.209,51.8%,15.2%,20.7%,0.54,0.27,1.26,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brandon Montour,459.1666667,151,99,12,24,23,4,65.56%,7.9%,24.2%,17.9%,19.73139746,12.93647913,1.568058076,3.528130672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Steeves,7.283333333,1,0,0,0,0,0,0,0,8.238,0,0.0%,0.0%,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brayden McNabb,493.15,190,86,26,34,16,4,45.26%,13.7%,39.5%,10.5%,23.11669877,10.46334787,3.163337727,2.433336713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Tuch,148.3166667,39,28,4,5,6,4,2,13,15.777,11.327,71.8%,12.8%,14.3%,5.26,2.43,2.43,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brayden Pachal,9,5,4,0,2,0,0,80.00%,0.0%,50.0%,0.0%,33.33333333,26.66666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
