Players,Sum of 5v5 TOI,5v5 Entries,Carry-ins,Failed Entries,Entries w/ Passing Play...6,Recovered Dump-ins,Carries w/Chances,Dump-ins w/ Chances,Forecheck Pressures,Entries/60,Carries/60,Carry%,Pass%...14,Carry Chance%,Pressures/60,Recoveries/60,Entries w/ Chances per 60,Entries w/ Passing Play...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,Player,Sum of 5v5 TOI2,Entry Targets,Carrires Against,Entry Denials,Passes Allowed,Carries w/ Chance Allowed,Dump-in w/ Chance Allowed,Carry Against%,Denial%,Pass%...39,Chance Against%,Targets per 60,Carries Against per 60,Denials per 60,Chances Allowed per 60,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56
Joey Keane,13.62,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johan Larsson,172.52,49,24,6,8,7,5,1,11,17.042,8.347,49.0%,16.3%,20.8%,3.83,2.43,2.09,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Carlson,542.23,62,26,3,7,3,6,2,12,6.861,2.877,41.9%,11.3%,23.1%,1.33,0.33,0.89,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Hayden,171.9,60,12,8,1,4,2,1,9,20.942,4.188,20.0%,1.7%,16.7%,3.14,1.4,1.05,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Klingberg,567.5,83,44,8,12,2,5,5,6,8.775,4.652,53.0%,14.5%,11.4%,0.63,0.21,1.06,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Leonard,39.8,9,4,1,0,1,0,0,2,13.568,6.03,44.4%,0.0%,0.0%,3.02,1.51,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Marino,533.6833333,64,34,4,5,2,3,3,7,7.195,3.822,53.1%,7.8%,8.8%,0.79,0.22,0.67,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Tavares,516.0666667,129,79,17,21,19,24,6,58,14.998,9.185,61.2%,16.3%,30.4%,6.74,2.21,3.49,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnathan Kovacevic,31.43,4,1,0,0,0,0,0,0,7.635,1.909,25.0%,0.0%,0.0%,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnny Gaudreau,488.62,207,148,24,38,22,42,5,35,25.419,18.174,71.5%,18.4%,28.4%,4.3,2.7,5.77,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jon Lizotte,13.32,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jon Merrill,481.58,62,13,2,3,1,3,8,3,7.725,1.62,21.0%,4.8%,23.1%,0.37,0.12,1.37,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonah Gadjovich,113.7666667,40,9,3,4,8,2,2,8,21.096,4.747,22.5%,10.0%,22.2%,4.22,4.22,2.11,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonas Brodin,581.25,80,24,4,4,3,5,5,5,8.258,2.477,30.0%,5.0%,20.8%,0.52,0.31,1.03,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonas Rondbjerg,121.2,37,22,9,3,3,3,0,8,18.317,10.891,59.5%,8.1%,13.6%,3.96,1.49,1.49,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonas Siegenthaler,464.4,30,7,5,3,0,3,1,4,3.876,0.904,23.3%,10.0%,42.9%,0.52,0,0.52,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Dahlen,247,42,28,6,11,7,7,2,18,10.202,6.802,66.7%,26.2%,25.0%,4.37,1.7,2.19,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Drouin,126.5166667,26,12,2,4,4,5,2,12,12.33,5.691,46.2%,15.4%,41.7%,5.69,1.9,3.32,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Huberdeau,410.67,112,80,16,26,13,23,4,31,16.364,11.688,71.4%,23.2%,28.8%,4.53,1.9,3.94,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Marchessault,473.37,168,83,27,26,30,23,6,32,21.294,10.52,49.4%,15.5%,27.7%,4.06,3.8,3.68,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Toews,270.55,74,43,11,14,17,12,1,18,16.411,9.536,58.1%,18.9%,27.9%,3.99,3.77,2.88,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonny Brodzinski,65.75,15,6,1,1,3,3,3,5,13.688,5.475,40.0%,6.7%,50.0%,4.56,2.74,5.48,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joonas Donskoi,298.0333333,91,56,25,18,16,11,1,17,18.32,11.274,61.5%,19.8%,19.6%,3.42,3.22,2.42,3.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Eberle,400.35,126,70,13,25,26,10,7,23,18.883,10.491,55.6%,19.8%,14.3%,3.45,3.9,2.55,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Greenway,317.1,112,45,11,12,25,11,5,37,21.192,8.515,40.2%,10.7%,24.4%,7,4.73,3.03,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Kyrou,381.7833333,157,114,31,30,17,24,5,45,24.674,17.916,72.6%,19.1%,21.1%,7.07,2.67,4.56,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Martinook,272.43,84,30,9,7,23,3,5,33,18.5,6.607,35.7%,8.3%,10.0%,7.27,5.07,1.76,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Oesterle,203.17,24,9,2,2,0,2,2,1,7.088,2.658,37.5%,8.3%,22.2%,0.3,0,1.18,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Spence,128.2,12,5,3,1,0,1,1,0,5.616,2.34,41.7%,8.3%,20.0%,0,0,0.94,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Staal,434.2,99,42,6,14,42,7,6,47,13.68,5.804,42.4%,14.1%,16.7%,6.49,5.8,1.8,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordie Benn,216.3,11,0,2,0,0,0,1,2,3.051,0,0.0%,0.0%,#DIV/0!,0.55,0,0.28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joseph Cramarossa,6.92,2,0,1,0,0,0,0,0,17.349,0,0.0%,0.0%,#DIV/0!,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Anderson,275.15,87,45,10,6,16,9,1,27,18.971,9.813,51.7%,6.9%,20.0%,5.89,3.49,2.18,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Archibald,23.35,2,1,0,0,0,0,0,0,5.139,2.57,50.0%,0.0%,0.0%,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Bailey,450.8666667,101,40,14,16,23,11,5,32,13.441,5.323,39.6%,15.8%,27.5%,4.26,3.06,2.13,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Brown,274.05,27,2,0,2,0,1,1,2,5.911,0.438,7.4%,7.4%,50.0%,0.44,0,0.44,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Leivo,22.65,3,2,0,0,3,1,0,4,7.947,5.298,66.7%,0.0%,50.0%,10.6,7.95,2.65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Mahura,138.3333333,20,8,2,0,0,3,1,2,8.675,3.47,40.0%,0.0%,37.5%,0.87,0,1.73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Manson,392.4,42,18,1,8,1,8,0,3,6.422,2.752,42.9%,19.0%,44.4%,0.46,0.15,1.22,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Morrissey,604.6,69,32,2,13,1,2,4,12,6.848,3.176,46.4%,18.8%,6.3%,1.19,0.1,0.6,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Norris,228.67,43,26,6,6,12,6,3,19,11.283,6.822,60.5%,14.0%,23.1%,4.99,3.15,2.36,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josiah Slavin,54.5,17,8,3,3,3,2,1,1,18.716,8.807,47.1%,17.6%,25.0%,1.1,3.3,3.3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juho Lammikko,266.1666667,46,16,3,4,17,3,2,16,10.369,3.607,34.8%,8.7%,18.8%,3.61,3.83,1.13,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jujhar Khaira,79.73,19,6,2,0,3,1,0,3,14.298,4.515,31.6%,0.0%,16.7%,2.26,2.26,0.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julien Gauthier,199.9166667,55,26,5,4,13,6,3,13,16.507,7.803,47.3%,7.3%,23.1%,3.9,3.9,2.7,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Bailey,54.51666666,18,6,1,0,2,1,1,4,19.81,6.603,33.3%,0.0%,16.7%,4.4,2.2,2.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Barron,24.27,4,1,1,1,0,0,0,0,9.89,2.473,25.0%,25.0%,0.0%,0,0,0,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Braun,550.2,30,5,4,1,1,1,4,4,3.272,0.545,16.7%,3.3%,20.0%,0.44,0.11,0.55,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Danforth,154.37,39,24,4,7,8,2,3,22,15.159,9.328,61.5%,17.9%,8.3%,8.55,3.11,1.94,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Dowling,57.03333333,11,2,1,0,3,0,0,5,11.572,2.104,18.2%,0.0%,0.0%,5.26,3.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Faulk,543.2333333,101,37,7,13,3,9,2,9,11.155,4.087,36.6%,12.9%,24.3%,0.99,0.33,1.21,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Holl,499.5,58,15,4,6,1,3,3,15,6.967,1.802,25.9%,10.3%,20.0%,1.8,0.12,0.72,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Schultz,405.52,53,22,4,11,2,8,3,4,7.842,3.255,41.5%,20.8%,36.4%,0.59,0.3,1.63,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juuso Riikola,24.03333334,1,0,0,0,0,0,0,1,2.497,0,0.0%,0.0%,#DIV/0!,2.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juuso Valimaki,55.47,3,1,2,1,0,0,0,0,3.245,1.082,33.3%,33.3%,0.0%,0,0,0,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K'Andre Miller,615.4,54,15,5,3,1,7,4,6,5.265,1.462,27.8%,5.6%,46.7%,0.58,0.1,1.07,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaapo Kakko,263.5333333,59,24,9,6,13,2,4,19,13.433,5.464,40.7%,10.2%,8.3%,4.33,2.96,1.37,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kailer Yamamoto,572.18,140,80,21,25,22,20,6,51,14.681,8.389,57.1%,17.9%,25.0%,5.35,2.31,2.73,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kale Clague,165.4166667,9,4,1,2,0,1,0,0,3.264,1.451,44.4%,22.2%,25.0%,0,0,0.36,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karson Kuhlman,124.75,45,18,6,3,5,5,1,10,21.643,8.657,40.0%,6.7%,27.8%,4.81,2.4,2.89,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kasper Bjorkqvist,12.13333333,2,0,0,0,1,0,1,0,9.89,0,0.0%,0.0%,#DIV/0!,0,4.95,4.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kasperi Kapanen,421.65,156,93,17,19,25,24,3,25,22.199,13.234,59.6%,12.2%,25.8%,3.56,3.56,3.84,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keegan Kolesar,393,93,47,24,13,21,10,4,22,14.198,7.176,50.5%,14.0%,21.3%,3.36,3.21,2.14,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keith Yandle,365.8,24,8,3,4,0,2,3,1,3.937,1.312,33.3%,16.7%,25.0%,0.16,0,0.82,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kent Johnson,38.43,16,6,2,0,1,0,1,3,24.978,9.367,37.5%,0.0%,0.0%,4.68,1.56,1.56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Bahl,69.43,4,1,0,0,0,0,0,0,3.457,0.864,25.0%,0.0%,0.0%,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Connauton,180.6166667,25,7,1,1,0,2,3,3,8.305,2.325,28.0%,4.0%,28.6%,1,0,1.66,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Fiala,456.27,163,124,25,42,19,34,4,34,21.435,16.306,76.1%,25.8%,27.4%,4.47,2.5,5,5.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Hayes,178.9166667,44,25,6,3,12,1,3,4,14.755,8.384,56.8%,6.8%,4.0%,1.34,4.02,1.34,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Labanc,70.71666666,18,8,2,3,1,1,1,2,15.272,6.788,44.4%,16.7%,12.5%,1.7,0.85,1.7,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Rooney,323.2166667,76,30,5,7,18,7,1,25,14.108,5.569,39.5%,9.2%,23.3%,4.64,3.34,1.49,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Shattenkirk,395.3,41,12,1,4,0,3,2,3,6.223,1.821,29.3%,9.8%,25.0%,0.46,0,0.76,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Stenlund,7.92,2,1,0,0,0,0,0,0,15.158,7.579,50.0%,0.0%,0.0%,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiefer Sherwood,58.33,17,8,2,1,4,4,0,3,17.486,8.229,47.1%,5.9%,50.0%,3.09,4.11,4.11,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kieffer Bellows,217.35,64,32,10,7,5,7,2,16,17.667,8.834,50.0%,10.9%,21.9%,4.42,1.38,2.48,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirby Dach,347.93,110,71,18,18,17,11,3,25,18.969,12.244,64.5%,16.4%,15.5%,4.31,2.93,2.41,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
