"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","G±","Sh%","Sv%"
"Islanders","NYI","21-22",82,4970.2,37,35,10,35,84,51.2,231,237,-6,9.7,91.3
"Flyers","PHI","12-13",48,2900.9,23,22,3,22,49,51,133,141,-8,9.5,89.9
"Coyotes","ARI","07-08",82,4995.4,38,37,7,NA,83,50.6,214,231,-17,8.4,91.1
"Maple Leafs","TOR","07-08",82,4991.4,36,35,11,NA,83,50.6,231,260,-29,9,89.3
"Senators","OTT","08-09",82,4993.5,36,35,11,NA,83,50.6,217,237,-20,8.9,90.1
"Stars","DAL","08-09",82,5004.6,36,35,11,NA,83,50.6,230,257,-27,9.5,89.1
"Thrashers","ATL","09-10",82,4988,35,34,13,NA,83,50.6,234,256,-22,9.5,90.8
"Hurricanes","CAR","13-14",82,4979.1,36,35,11,34,83,50.6,207,230,-23,8,91.1
"Canucks","VAN","13-14",82,5007.9,36,35,11,31,83,50.6,196,223,-27,7.6,90.7
"Hurricanes","CAR","17-18",82,4982,36,35,11,33,83,50.6,228,256,-28,8.1,89.3
"Wild","MIN","18-19",82,4968.1,37,36,9,36,83,50.6,211,237,-26,8.2,90.4
"Hurricanes","CAR","11-12",82,4988.7,33,33,16,32,82,50,213,243,-30,8.5,91.1
"Stars","DAL","12-13",48,2906.1,22,22,4,20,48,50,130,142,-12,10.2,90.5
"Devils","N.J","12-13",48,2937.8,19,19,10,17,48,50,112,129,-17,8.1,89
"Sabres","BUF","12-13",48,2946.1,21,21,6,14,48,50,125,143,-18,8.8,91.3
"Avalanche","COL","15-16",82,4958.5,39,39,4,35,82,50,216,240,-24,9,90.9
"Canadiens","MTL","15-16",82,4973.8,38,38,6,33,82,50,221,236,-15,8.6,90.3
"Flyers","PHI","18-19",82,4963.8,37,37,8,34,82,50,244,281,-37,9.3,89.5
"Canadiens","MTL","19-20",71,4309.9,31,31,9,27,71,50,212,221,-9,8.6,90
"Maple Leafs","TOR","08-09",82,4945.9,34,35,13,NA,81,49.4,250,293,-43,9.4,88.5
"Devils","N.J","10-11",82,4975.9,38,39,5,35,81,49.4,174,209,-35,7.3,90.4
"Blue Jackets","CBJ","10-11",82,5011.6,34,35,13,29,81,49.4,215,258,-43,8.4,89.8
"Wild","MIN","11-12",82,5030.6,35,36,11,24,81,49.4,177,226,-49,7.6,91.6
"Sabres","BUF","15-16",82,4991.1,35,36,11,33,81,49.4,201,222,-21,8.2,91.4
"Panthers","FLA","16-17",82,5007.4,35,36,11,30,81,49.4,210,237,-27,7.8,91.1
"Canucks","VAN","18-19",82,5010,35,36,11,29,81,49.4,225,254,-29,9,90.5
"Blue Jackets","CBJ","21-22",82,4971.9,37,38,7,33,81,49.4,262,300,-38,10.5,89.7
"Sabres","BUF","19-20",69,4184.5,30,31,8,28,68,49.3,195,217,-22,9.5,90
"Devils","N.J","19-20",69,4204.7,28,29,12,24,68,49.3,189,230,-41,8.7,90.1
"Flames","CGY","20-21",56,3376.8,26,27,3,25,55,49.1,156,161,-5,9.2,89.9
"Blackhawks","CHI","20-21",56,3415.3,24,25,7,22,55,49.1,161,186,-25,9.7,90.3
"Blue Jackets","CBJ","07-08",82,4988.1,34,36,12,NA,80,48.8,193,218,-25,8,90.7
"Hurricanes","CAR","09-10",82,4926.7,35,37,10,NA,80,48.8,230,256,-26,9.4,90.2
"Lightning","T.B","09-10",82,5002,34,36,12,NA,80,48.8,217,260,-43,9,90.2
"Thrashers","ATL","10-11",82,5012.8,34,36,12,29,80,48.8,223,269,-46,8.4,90.1
"Ducks","ANA","11-12",82,4986.9,34,36,12,31,80,48.8,204,231,-27,8.8,90.5
"Maple Leafs","TOR","11-12",82,4986.7,35,37,10,31,80,48.8,231,264,-33,9.8,89.8
"Islanders","NYI","17-18",82,4983.5,35,37,10,32,80,48.8,264,296,-32,10.1,90
"Ducks","ANA","18-19",82,4972,35,37,10,32,80,48.8,199,251,-52,8.6,90.9
"Islanders","NYI","07-08",82,4988.3,35,38,9,NA,79,48.2,194,243,-49,7.7,90.4
"Blues","STL","07-08",82,4979.1,33,36,13,NA,79,48.2,205,237,-32,9.4,89.7
"Coyotes","ARI","08-09",82,4901.5,36,39,7,NA,79,48.2,208,252,-44,8.9,90.3
"Kings","L.A","08-09",82,5002.3,34,37,11,NA,79,48.2,207,234,-27,8.5,90.2
"Islanders","NYI","09-10",82,4955.2,34,37,11,NA,79,48.2,222,264,-42,8.5,90.2
"Blue Jackets","CBJ","09-10",82,4937.4,32,35,15,NA,79,48.2,216,259,-43,9.1,89.9
"Islanders","NYI","11-12",82,4999.6,34,37,11,27,79,48.2,203,255,-52,8.1,89.8
"Islanders","NYI","13-14",82,5016,34,37,11,25,79,48.2,225,267,-42,8.5,89.4
"Stars","DAL","16-17",82,4960.1,34,37,11,33,79,48.2,223,262,-39,8.9,89.4
"Red Wings","DET","16-17",82,5018.6,33,36,13,24,79,48.2,207,244,-37,8.5,90.3
"Oilers","EDM","18-19",82,4967.6,35,38,9,32,79,48.2,232,274,-42,9.6,89.6
"Coyotes","ARI","20-21",56,3399.3,24,26,6,21,54,48.2,153,176,-23,9.8,89.8
"Canadiens","MTL","11-12",82,5017.9,31,35,16,26,78,47.6,212,226,-14,8.8,91.2
"Devils","N.J","14-15",82,4998.1,32,36,14,27,78,47.6,181,216,-35,8.8,91.7
"Coyotes","ARI","15-16",82,4956.2,35,39,8,34,78,47.6,209,245,-36,9.2,90.4
"Jets","WPG","15-16",82,4971.4,35,39,8,32,78,47.6,215,239,-24,8.7,90.3
"Sabres","BUF","16-17",82,4984.9,33,37,12,31,78,47.6,201,237,-36,8,91.8
"Oilers","EDM","17-18",82,4976.5,36,40,6,31,78,47.6,234,263,-29,8.4,90.1
"Rangers","NYR","18-19",82,5002.7,32,36,14,26,78,47.6,227,272,-45,9.2,90.4
"Ducks","ANA","19-20",71,4321,29,33,9,24,67,47.2,187,226,-39,8.6,90.2
"Panthers","FLA","09-10",82,5008.2,32,37,13,NA,77,47,208,244,-36,8.7,91.6
"Flames","CGY","13-14",82,4995,35,40,7,28,77,47,209,241,-32,9.2,89.9
"Flames","CGY","15-16",82,4973.2,35,40,7,33,77,47,231,260,-29,9.5,89.2
"Rangers","NYR","17-18",82,4979.5,34,39,9,31,77,47,231,268,-37,9,90.9
"Sharks","S.J","21-22",82,4975.6,32,37,13,29,77,47,214,264,-50,8.8,90
"Oilers","EDM","12-13",48,2923.7,19,22,7,17,45,46.9,125,134,-9,9.6,91.7
"Thrashers","ATL","07-08",82,5012,34,40,8,NA,76,46.3,216,272,-56,9.8,90.4
"Thrashers","ATL","08-09",82,4981.5,35,41,6,NA,76,46.3,257,280,-23,10.8,89.6
"Blue Jackets","CBJ","15-16",82,4985.3,34,40,8,28,76,46.3,219,252,-33,8.9,90.3
"Blackhawks","CHI","17-18",82,4966.3,33,39,10,32,76,46.3,229,256,-27,8.2,90.6
"Sabres","BUF","18-19",82,4994.4,33,39,10,28,76,46.3,226,271,-45,8.2,90.1
"Ducks","ANA","21-22",82,5002,31,37,14,27,76,46.3,232,271,-39,9.5,90.2
"Canucks","VAN","15-16",82,5004.4,31,38,13,26,75,45.7,191,243,-52,8,91
"Kings","L.A","19-20",70,4240.2,29,35,6,28,64,45.7,178,212,-34,7.6,89.9
"Sabres","BUF","21-22",82,4974.5,32,39,11,29,75,45.7,232,290,-58,9.3,89.4
"Senators","OTT","20-21",56,3392.1,23,28,5,21,51,45.5,157,190,-33,9.3,89.5
"Maple Leafs","TOR","09-10",82,5003.2,30,38,14,NA,74,45.1,214,267,-53,7.9,89.2
"Senators","OTT","10-11",82,4972,32,40,10,30,74,45.1,192,250,-58,8,90.4
"Oilers","EDM","11-12",82,4987.3,32,40,10,27,74,45.1,212,239,-27,9.5,90.8
